key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_000,歡迎，<hex:022903EB0203>。<hex:02100103>你今天來是為了工作？<hex:02100103>還是想來和我一起喝杯茶放鬆一下？
1,TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_001,你來啦，<hex:022903EB0203>。<hex:02100103>為留學生籌備的魔器和青蛙進展如何了？<hex:02100103>我一直在等著看你拿來的好東西呢！
2,TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_002,<hex:022903EB0203>，很高興看到你過來！<hex:02100103>能請你幫忙準備一些魔法餐盒嗎？<hex:02100103>有你出手，留學生們就不用擔心餓肚子啦。
3,TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_003,<hex:022903EB0203>，看到你來我就放心啦。<hex:02100103>麻煩你為不擅長魔法的孩子們準備特訓用的魔法人偶吧。<hex:02100103>如果累了也可以在我家歇歇哦？
4,TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_004,歡迎，我剛剛還在想你差不多要來了吧。<hex:02100103>希望你別光顧著工作，也偶爾過來露個面，<hex:02100103>看見你都好我就放心了。
5,TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_000,要做什麼？
6,TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_001,交納委託品（<hex:022812FF0D>ENpcResident<hex:E8020103>：剩餘<hex:022003E80303>次）
7,TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_002,對阿梅莉安絲進行武具投影
8,TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_003,詢問有關老主顧交易
9,TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_004,取消
10,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_000_000,想了解什麼？
11,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_001_000,關於阿梅莉安絲的信賴度
12,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_007_000,關於交納委託品的條件和報酬
13,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_002_000,委託品的獲得方法
14,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_003_000,製作材料的獲得方法
15,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_004_000,提高收藏價值的方法（製作篇）
16,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_005_000,提高收藏價值的方法（採礦/園藝篇）
17,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_006_000,提高收藏價值的方法（捕魚篇）
18,TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_CANCEL,取消
19,TEXT_CTSSFSCHARACTER8_00773_GUIDE_001_000,通過交納委託品，<hex:02100103><hex:022812FF0D>ENpcResident<hex:E8020103>對你的信賴度會漸漸提高。
20,TEXT_CTSSFSCHARACTER8_00773_GUIDE_001_001,目前的信賴度會顯示在委託品列表上方的信賴槽中，<hex:02100103>如果信賴槽積滿，信賴等級就會提高。<hex:02100103>另外，信賴等級會用心形圖案來表示。
21,TEXT_CTSSFSCHARACTER8_00773_GUIDE_001_002,每當信賴等級提高，<hex:02100103>就可以看到與<hex:022812FF0D>ENpcResident<hex:E8020103>有關的新故事。
22,TEXT_CTSSFSCHARACTER8_00773_GUIDE_007_000,交納收藏品需要收藏品對應的職業在80級以上才能進行。
23,TEXT_CTSSFSCHARACTER8_00773_GUIDE_007_001,交納時，若收藏品所對應的職業等級為100級，<hex:02100103>將會得到工票作為報酬，<hex:02100103>若對應職業未滿100級，將會得到經驗作為報酬。
24,TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_000,如果想要調查委託品列表中的道具的獲得方法，<hex:02100103>就請活用次級指令與道具說明吧。
25,TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_001,能工巧匠分類的委託品，只需要在打開列表的狀態下，<hex:02100103>執行次級指令「搜索製作道具的配方」，<hex:02100103>就可以打開製作筆記，看到製作配方。
26,TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_002,採礦工或園藝工分類的委託品，只需要在打開列表的狀態下，<hex:02100103>執行次級指令「搜索採集方法」，<hex:02100103>就可以打開採集筆記，看到採集地點。
27,TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_003,捕魚人分類的委託品，<hex:02100103>在打開列表的狀態下執行次級指令「顯示獲取地點」，<hex:02100103>就會顯示出可以獲得該種魚類的釣場或漁場。
28,TEXT_CTSSFSCHARACTER8_00773_GUIDE_102_003,另外垂釣時推薦使用<hex:02280BFF05>Item<hex:F26FDA0103>作為釣餌。
29,TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_004,可以交給<hex:022812FF0D>ENpcResident<hex:E8020103>的道具<hex:02100103>分為能工巧匠、採礦工與園藝工、捕魚人三種，<hex:02100103>並且需要所有物品均為「收藏品」。
30,TEXT_CTSSFSCHARACTER8_00773_GUIDE_003_000,製作委託品的必要材料，<hex:02100103>可以在舊薩雷安的露天集市前的素材商辛諾芙處購買。
31,TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_000,能工巧匠製作出來的產品的「收藏價值」<hex:02100103>會隨製作時物品品質的提高而上升。<hex:02100103>因此，盡量提高品質後做出成品是尤為重要的。
32,TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_002,提高品質成功時，<hex:02100103>自身便會附加「內靜」。
33,TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_003,盡可能地多積攢內靜，<hex:02100103>最後用「比爾格的祝福」等技能<hex:02100103>一口氣提高品質後，就可以完成製作了。
34,TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_004,除了上述技能之外，還有很多技能可以有效提高品質，<hex:02100103>習慣製作之後，可以進行多種嘗試，<hex:02100103>摸索出適合自己的製作節奏。
35,TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_000,採集收藏品時，會出現專用的介面。<hex:02100103>這時可以使用各種收藏品採集技能<hex:02100103>提高採集品的收藏價值。
36,TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_001,採礦工和園藝工想要提高收藏價值的話，<hex:02100103>可以先使用技能「集中檢查」，然後再使用「提純」。<hex:02100103>以上技能循環幾次後，再進行採集。
37,TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_002,如果想得到較高的收藏價值，<hex:02100103>可以通過調整裝備，提高「獲得力」和「鑑別力」，<hex:02100103>這樣收藏品採集技能帶來的效果也會事半功倍。
38,TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_003,要是「採集力」不足的話，<hex:02100103>也可以通過調整裝備提高採集力上限。
39,TEXT_CTSSFSCHARACTER8_00773_GUIDE_006_000,水產品的「收藏價值」通過釣上來的魚的大小來體現。
40,TEXT_CTSSFSCHARACTER8_00773_GUIDE_006_001,如果想把魚作為收藏品保存起來，就先前往魚所在的釣場，<hex:02100103>使用技能「收藏品採集」，開始釣魚。
