key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,……怎麼了？<hex:02100103>想買勒昂琅的話，1枚孚布特金幣可不夠哦？,,
11,水晶公說了什麼來著……,,
12,好黑啊……<hex:02100103>要不要從上面借點蠟燭過來？,,
13,…………<hex:02100103>幹嘛一直盯著我看啊？<hex:02100103>這邊的調查還需要點時間。,,
14,好痛……<hex:02100103>為、為什麼要瞄準我啊……,,
15,即使被擊中也紋絲不動，一直盯著這邊看。<hex:02100103>看來至少不是矮人族……,,
16,哦哦，射對啦！<hex:02100103>為你的判斷力和行動力鼓掌啦哩！,,
17,射錯啦！<hex:02100103>我戴的可是真真正正的圖爾頭盔！<hex:02100103>錯啦錯啦！嗯……錯啦！,,
18,嘎哈哈哈！哼哼！哼哼哼！<hex:02100103>不可以對我進行射擊哦，看來你還差得遠呢！,,
19,發現了疑似目標人物！,,
20,……穩重的氣場。<hex:02100103>不過並不是貓秘族。,,
21,看起來很舊的壁畫。<hex:02100103>身處中央的人物舉著武器。<hex:02100103>黑色野獸被打倒，周圍的人們看起來都很開心……,,
22,看起來非常舊的壁畫。<hex:02100103>坐在王座上的人物正在接受很多人的謁見……,,
23,看起來相當舊的壁畫。<hex:02100103>裡面畫有數名與湧動的黑暗對峙的人物，<hex:02100103>不過中央部分被刮掉許多……,,
24,那個是垂涎欲滴烙餅！<hex:02100103>裡面加入了又酸又甜的仙人掌的果實，<hex:02100103>所以乾一點也沒關係！有助於健康！,,
25,那個是幹勁熊熊火腿！<hex:02100103>是將蜥蜴的貴重部位利用秘傳香料製成的火腿！<hex:02100103>雖然有點奇怪的味道，但是吃了它能讓身體變得結實！,,
26,那個是黏黏小串！<hex:02100103>是將隱藏在附近石場中的小型青蛙簡單烤製得到的！<hex:02100103>很爽口，不黏牙！,,
27,那個是軟軟醃白蚯蚓！<hex:02100103>是將大家都很喜歡的白蚯蚓蘸到蜜汁裡的夢幻美食！<hex:02100103>吃完這個就吃不下其他甜食了！,,
28,發現了古舊的石板！,,
29,嗯……這個應該是祭壇，<hex:02100103>不過卻沒看到夜之民的代表性祭具水鏡啊。<hex:02100103>是他們離開的時候只把那個帶走了吧……,,
30,發現了疑似目標人物！<hex:02100103>但是往村落那邊逃走了……,,
31,一直在盯著這邊看。<hex:02100103>似乎不是神秘的人影……,,
32,啦哩吼！幹得漂亮！<hex:02100103>保持這個狀態，正式挑戰的時候也要加油啊！,,
33,高聳著的細長建築，上面有很多窗戶。<hex:02100103>是不曾在其他地方見到過的獨特設計。,,
34,……為什麼會有鯨頭鸛？<hex:02100103>完全不知道為什麼，但就是堂而皇之地出現在那裡。,,
35,冰海天使的幼體臉上一副柔弱的表情……<hex:02100103>肯定是個特別老實的生物。,,
36,咦？！不要趁亂瞄準我啊！<hex:02100103>兜帽我是不會摘下來的！,,
37,即使被擊中也紋絲不動，<hex:02100103>一直、一直盯著這邊看。<hex:02100103>看來並不是矮人族……,,
38,,,
39,哎呀？！<hex:02100103>你幹嘛！<hex:02100103>請不要打擾我工作！,,
40,嗯……從這裡看得不是很清楚，<hex:02100103>水箱上面連著金色的管子吧？,然後透過稍微靠下的窗戶看過去……<hex:02100103>水箱的下部似乎也連接著巨大的管子。,也就是說，這是用來對採集的水<hex:02100103>進行過濾除雜的淨水裝置吧。
41,有一個巨大的筒矗立在牆的旁面……<hex:02100103>從聲音來判斷，牆的另一面是水源吧？,然後筒的頂端突出的那個軸，<hex:02100103>則通過傳導裝置與旋轉的車輪狀動力裝置相連……,也就是說，這就是汲水裝置！<hex:02100103>筒裡應該有能夠旋轉的螺旋槳。
