key,5,6
#,Name,Description
offset,0,4
int32,str,str
0,,
1,切換行動狀態,在拔出武器與收回武器的狀態間切換。
2,角色,查看角色的各項狀態參數，也可以進行變更裝備、修改稱號等操作。
3,技能選單,查看角色已經學會的各種技能，可以將技能設定到熱鍵上、選擇職能技能等多項操作。
4,日誌,查看當前已經接受和已經完成的任務及理符任務，切換任務情報中顯示的任務，開始或放棄理符任務等。
5,任務情報,查看關於任務的各種帶有計時的情報。理符受理限額的更新時間、友好部族日常的剩餘受理限額等。
6,成就,查看成就的達成條件、當前進度及達成報酬等情報。
7,採集筆記,查看採集作業所能夠獲得的道具，也可以查看目標道具可以在哪片地區採集到。
8,討伐筆記,查看戰鬥職業的討伐目標及其數量和生息地，以及成功討伐後能夠獲得的經驗等獎勵。
9,製作筆記,查看製作職業的各種配方，也可以直接開始製作作業。
10,物品,查看當前背包中的物品和水晶，也可以進行裝備、使用、排列順序等操作。
11,任務道具,查看當前背包中的任務道具，在放棄任務時會丟棄相關的任務道具。
12,小隊隊員,查看小隊中的隊員，也可以進行更改排序、離開小隊、解散小隊等操作。
13,好友名單,查看自己的好友，可以直接發送悄悄話。也可以向好友發送組隊邀請。
14,黑名單,查看被列入黑名單的人，這些人的發言不會被看到，交易和組隊等各種邀請也會被自動屏蔽。
15,玩家搜尋,通過各種指定條件搜尋其他玩家。
16,地圖,查看自己和小隊隊員的位置，以及乙太之光和商店的所在地、任務目的地等情報，地圖可以進行縮放，也可以查看其他地區的地圖。
17,情感動作,查看玩家表達情感的各種動作，在與他人的交流中能夠起到很大作用。
18,目標標記,在目標的頭頂設定小隊與團隊可見的圖標記號。
19,系統設定,對聲音、映像等系統項目進行調整。
20,鍵位設定,為各種操作和快捷功能配置自己慣用的鍵位。
21,用戶巨集,通過各種文本指令組合能夠建立用戶巨集命令。既可以建立角色專用的巨集命令，也可以建立各角色公用的巨集命令。建立完成的巨集命令可以設定到熱鍵欄上。在文本指令一覽中可以進行查看。
22,介面設定,修改遊戲介面中各個視窗的位置和大小，設定是否顯示視窗，還可以切換成已保存的介面。
23,返回標題畫面,退出當前角色，回到遊戲的標題畫面。
24,退出遊戲,退出並關閉遊戲客戶端。
25,兵裝庫,收納獲得的裝備。每個部位的裝備都會單獨收納，可以查看及裝備到身上。
26,,
27,部隊,查看所屬部隊的各種情報。
28,通訊貝,查看所屬的所有通訊貝的成員情報。
29,釣魚筆記,記錄了捕魚人的捕魚成果及釣場，在各種地域釣魚會追加記錄內容。
30,新手指南,查看已經出現過的新手指南。
31,推薦任務,查看周圍地區適合當前情況接受的任務及臨危受命，還有適合當前等級的副本任務。
32,隱私政策,查看關於個人資訊的收集、使用、儲存情況，以及相關的清單。
33,任務搜尋器,可確認副本迷宮和公會令等組隊任務的內容和參加條件以及申請參加任務。參加時可以自動組成小隊參加或以任意編成進行挑戰。
34,角色設定,對操作、介面、熱鍵欄、聊天欄等與角色相關的項目進行調整。
35,傳送,消耗相應的金幣，瞬間移動到已經共鳴過的水晶之光所在地，可以帶領小隊隊員一起移動。
36,返回,瞬間移動到設定為返回點的水晶之光所在地，不需要任何消耗，不過使用一次之後需要等待15分鐘才能使用下一次。如果在副本任務中使用，則會回到副本的開始地點。
37,許可證,查看«最終幻想14»的許可證。
38,筆記,（ヘルプ無し）
39,社交,（ヘルプ無し）
40,系統,（ヘルプ無し）
41,魚類圖鑑,捕魚人的圖鑑，記載了釣魚相關的各種詳細內容。釣上新種類的魚後會追加記入各種內容。
42,搭檔,查看搭檔的狀態、召喚剩餘時間和能夠使用的技能。搭檔的技能點也是在這裡分配。
43,任務輔助,（ヘルプ無し）
44,房屋,打開房屋選單。
45,顯示設定,打開顯示設定視窗，可以對當前的顯示效果、螢幕模式、畫面解析度等功能進行設定。
46,聲音設定,打開聲音設定視窗，可以對音量和靜音等功能進行設定。
47,映像設定,打開映像設定視窗，可以對畫面品質的各種細節進行設定。
48,滑鼠設定,打開滑鼠設定視窗，可以對滑鼠操作功能進行設定。
49,<hex:020824E1E94C01FF10>控制器設定<hex:FF0D>手把設定<hex:03>,<hex:0208A5E1E94C01FF52>打開控制器設定視窗，可以對控制器的震動等功能進行設定。<hex:FF4C>打開手把設定視窗，可以對手把的震動等功能進行設定。<hex:03>
50,其他設定,打開其他設定視窗，可以對遊戲截圖的保存格式及語言等功能進行設定。
51,操作設定,打開操作設定視窗，可以對視角、目標等操作相關的功能進行設定。
52,介面設定,打開介面設定視窗，可以對畫面上的各種用戶介面布局進行設定。
53,名牌設定,打開名牌設定視窗，可以對玩家頭上的名牌進行設定。
54,熱鍵欄設定,打開熱鍵欄設定視窗，可以對熱鍵欄進行設定。
55,聊天視窗設定,打開聊天視窗設定畫面，可以對消息的字型大小及過濾屏蔽等功能進行設定。
56,對戰資料,查看對戰的戰績或對戰專用技能，可以將對戰技能設定到熱鍵欄。
57,隊員招募,以指定目的和職能來招募共同戰鬥的隊友。
58,場景標記,在場地上設定小隊及團隊可見的標記。
59,準備確認,確認小隊或團隊的隊員是否準備就緒。
60,挑戰筆記,查看各種挑戰項目的情況，包括項目的進度以及相應的報酬。項目的完成情況會在每<hex:020603120303><hex:02093ADDFF07>週日<hex:FF07>週一<hex:FF07>週二<hex:FF07>週三<hex:FF07>週四<hex:FF07>週五<hex:FF07>週六<hex:03>的<hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>點（地球時間）重置。
61,坐騎一覽,查看關於坐騎的各種資訊，也可以直接召喚出坐騎。
62,寵物一覽,查看關於寵物的各種資訊，也可以直接召喚出寵物。
63,輔助功能設定,查看輔助功能設定畫面，包括聲音效果的輔助表現。
64,探索筆記,查看探索筆記中的記錄情報。
65,金碟遊樂場,查看關於金碟遊樂場的各種情報。包括查看競賽陸行鳥的屬性和血統、更換裝備，搭配九宮幻卡的卡組，編輯萌寵之王寵物熱鍵欄，更改多瑪方城戰的設定等。
66,貨幣一覽,查看所持金幣以及各種貨幣的數量。
67,風脈泉,查看風脈泉的共鳴記錄。
68,資訊中心,可以打開連接到«最終幻想14»官方網站內資訊中心頁面的選單。
69,管弦樂琴樂譜集,可以使用管弦樂琴來欣賞的樂曲一覽。獲得樂譜可以追加相應曲目。
70,初學者學堂,可在這裡對各職能的戰鬥職業（防護職業、治療職業、進攻職業）的基本戰鬥方式進行訓練。會根據當前職能或訓練的進度來給出合適的訓練內容。
71,物品設定,打開物品設定視窗。
72,大型任務搜尋器,可以挑戰最新的高難度大型任務。即使未達到規定人數，也可以通過設定詳細條件，和志同道合的玩家們自動組成小隊，進行挑戰。
73,戰鬥開始倒數計時,將戰鬥開始倒數計時設定為任意秒數，並對自己、小隊成員或團隊成員顯示。
74,戰友列表,查看最近和自己組過隊的玩家。可以向列表中的玩家發送好友申請。
75,坐騎速度,可以查看各區域騎乘狀態時的地面移動速度。
76,任務回顧,可以回顧保存的任務記錄。也可以進行任務記錄的設定。
77,陸行鳥鞍囊,可以自由存取搭檔陸行鳥的道具。（無法在任務中使用）
78,戰隊,確認所屬戰隊的各項情報。
79,記錄準備確認,進行記錄的準備確認和戰鬥開始倒數計時。只有在可以記錄的任務中才能使用。
80,跨服通訊貝,可以建立和確認跨服通訊貝，以及和其他伺服器的玩家進行跨服組隊。
81,青魔法書,可以查看青魔法的學習情況，也可以對已經學會並準備使用的青魔法進行設定。
82,親信戰友,可以和成為幻體的非玩家同伴一起挑戰迷宮。
83,顏色主題設定,更改視窗的顏色主題。
84,危命任務完成度,查看在特定地區完成危命任務的記錄。在對應地區完成危命任務時取得最高評價的話，記錄的內容會增加。
85,同好會,可進行建立同好會、查看所屬同好會情報等操作。
86,同好招募,可以看到正在招募成員的同好會，並且可以申請加入。
87,重要物品,可查看重要物品。
88,昔日重現模式,可重新體驗已完成的任務。
89,時尚配飾,查看關於時尚配飾的各種資訊，也可以直接使用時尚配飾。
90,官方網站,查看最終幻想14的官方網站。
91,劇情輔助器,可以和非玩家的輔助隊員一起挑戰迷宮。
92,肖像列表,查看當前的肖像，還可以編輯各套裝的肖像。
93,冒險者銘牌,查看角色的個人資訊，還可以編輯個人資訊、銘牌樣式等內容。
94,特殊迷宮探索器,可以設定和申請參加多變迷宮等特殊迷宮的探索器，也可以查看在特殊迷宮中發現的故事。
95,面部配飾,調整角色裝備的眼鏡形狀和顏色。
96,屏蔽名單,查看被列入屏蔽名單的人，這些人的發言不會被看到。
97,屏蔽詞,屏蔽詞一覽。在此查看、登記、編輯、刪除屏蔽詞。
98,戰術板,戰術板是用來繪製或閱覽戰術圖的白板。面對強敵時，它能方便玩家制定戰術。
