key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANLOP113_04699_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整（限定職業）<hex:0249020103><hex:0248020103><hex:02100103>※推進該任務時，職業需與接受任務時相同。<hex:02100103><hex:02100103>希望的貨艙的運營威希望冒險者能幫助擔驚威實現夢想。
1,TEXT_BANLOP113_04699_SEQ_01,和存領威對話
2,TEXT_BANLOP113_04699_SEQ_02,將委託的物品交給最偉大的森林的戰戰兢兢的兔兔族
3,TEXT_BANLOP113_04699_SEQ_03,向運營威報告
4,TEXT_BANLOP113_04699_SEQ_04,
5,TEXT_BANLOP113_04699_SEQ_05,
6,TEXT_BANLOP113_04699_SEQ_06,
7,TEXT_BANLOP113_04699_SEQ_07,
8,TEXT_BANLOP113_04699_SEQ_08,
9,TEXT_BANLOP113_04699_SEQ_09,
10,TEXT_BANLOP113_04699_SEQ_10,
11,TEXT_BANLOP113_04699_SEQ_11,
12,TEXT_BANLOP113_04699_SEQ_12,
13,TEXT_BANLOP113_04699_SEQ_13,
14,TEXT_BANLOP113_04699_SEQ_14,
15,TEXT_BANLOP113_04699_SEQ_15,
16,TEXT_BANLOP113_04699_SEQ_16,
17,TEXT_BANLOP113_04699_SEQ_17,
18,TEXT_BANLOP113_04699_SEQ_18,
19,TEXT_BANLOP113_04699_SEQ_19,
20,TEXT_BANLOP113_04699_SEQ_20,
21,TEXT_BANLOP113_04699_SEQ_21,
22,TEXT_BANLOP113_04699_SEQ_22,
23,TEXT_BANLOP113_04699_SEQ_23,
24,TEXT_BANLOP113_04699_TODO_00,和存領威對話
25,TEXT_BANLOP113_04699_TODO_01,<hex:0208F2049CE4E8050AFF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FFF2040D><hex:0208F20407E4E8050BFF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FFF20378><hex:0208F20372E4E8050CFF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FFF202E3><hex:0208F202DDE4E80509FF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FFF2024E><hex:0208F20248E4E8050DFF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FFF201B9><hex:0208F201B3E4E8050EFF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FFF20124><hex:0208F2011EE4E8050FFF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FF92><hex:02088EE4E80510FF86><hex:020882E3E802E803FF36>製作筆記 友好部族任務：製作<hex:02280AFF05>Item<hex:E8060103><hex:FF44>將<hex:02280AFF05>Item<hex:E8060103>交給最偉大的森林的戰戰兢兢的兔兔族<hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>
26,TEXT_BANLOP113_04699_TODO_02,向運營威報告
27,TEXT_BANLOP113_04699_TODO_03,
28,TEXT_BANLOP113_04699_TODO_04,
29,TEXT_BANLOP113_04699_TODO_05,
30,TEXT_BANLOP113_04699_TODO_06,
31,TEXT_BANLOP113_04699_TODO_07,
32,TEXT_BANLOP113_04699_TODO_08,
33,TEXT_BANLOP113_04699_TODO_09,
34,TEXT_BANLOP113_04699_TODO_10,
35,TEXT_BANLOP113_04699_TODO_11,
36,TEXT_BANLOP113_04699_TODO_12,
37,TEXT_BANLOP113_04699_TODO_13,
38,TEXT_BANLOP113_04699_TODO_14,
39,TEXT_BANLOP113_04699_TODO_15,
40,TEXT_BANLOP113_04699_TODO_16,
41,TEXT_BANLOP113_04699_TODO_17,
42,TEXT_BANLOP113_04699_TODO_18,
43,TEXT_BANLOP113_04699_TODO_19,
44,TEXT_BANLOP113_04699_TODO_20,
45,TEXT_BANLOP113_04699_TODO_21,
46,TEXT_BANLOP113_04699_TODO_22,
47,TEXT_BANLOP113_04699_TODO_23,
48,TEXT_BANLOP113_04699_MANAGINGWAY_000_000,我們的夥伴中，有一個名叫擔驚威的，<hex:02100103>他是一個喜歡擔驚受怕的，有點奇怪的傢伙。<hex:02100103>他為了實現夢想，也想請求你的幫助。
49,TEXT_BANLOP113_04699_MANAGINGWAY_000_001,他想要的是一些尋找刺激用的工具，<hex:02100103>因為他要的東西很難做，所以收到請求的同伴們都覺得很棘手。
50,TEXT_BANLOP113_04699_MANAGINGWAY_000_002,擔驚威又來找人幫忙了，<hex:02100103>他想要的還是尋找擔驚受怕的感覺時要用的道具，<hex:02100103>夥伴們完全無法理解他的需求，正為此困擾得不行呢。
51,TEXT_BANLOP113_04699_MANAGINGWAY_000_003,我唯一想到能解決這件難題的人，<hex:02100103>只有見過眾多匪夷所思事物的<hex:022903EB0203>大人了。<hex:02100103>求你行行好，幫幫他吧！
52,TEXT_BANLOP113_04699_MANAGINGWAY_000_004,那邊的存領威，<hex:02100103>為你準備了製作道具所需的材料。<hex:02100103>這件事就麻煩你了！
53,TEXT_BANLOP113_04699_KEEPINGWAY_000_010,你是為了擔驚威的事來的吧？<hex:02100103>我實在是理解不了他的想法，對他的要求束手無策。<hex:02100103>你來真是幫大忙了，你要的材料我這就幫你準備好……
54,TEXT_BANLOP113_04699_KEEPINGWAY_000_011,據說……<hex:02100103>他想要的，是用這個材料製作的，<hex:02100103>能把毛髮剃到極限的<hex:02280DFF07>ItemHQ<hex:F297D70103>。
55,TEXT_BANLOP113_04699_KEEPINGWAY_000_012,據說……<hex:02100103>他想要的，是用這個材料製作的，<hex:02100103>能把四肢綁得動彈不得的<hex:02280DFF07>ItemHQ<hex:F297D70103>。
