key,6,7
#,Name,Example
offset,0,4
int32,str,str
0,None,
1,說話,斯考爾：無所謂了……
2,喊話,巴茲：有人一起冒險嗎？
3,悄悄話,>> 克勞德： 你這衣服不錯。<hex:02100103>蒂法 >> 克勞德，眼睛看哪呢？
4,小隊,(塞西爾) 你們都在哪裡？
5,情感動作,莉諾雅在展示自己的存在。
6,自訂情感動作,塞麗絲拍了拍自己的臉。
7,部隊,[部隊]<克勞德> 我想邀請我的朋友扎克斯加入這裡。
8,通訊貝1,[1]<莎拉> 可以的話……請一直留在……
9,通訊貝2,[2]<敏武> 我能夠看到你們的命運。
10,通訊貝3,[3]<艾麗婭> 拜託你們了……驅除黑暗……為這個世界……帶回和平……
11,通訊貝4,[4]<泰拉> 我回憶起來了……被我忘記的咒文！
12,通訊貝5,[5]<加拉夫> 太了不起了！瞧瞧咱這驚人的記憶力！
13,通訊貝6,[6]<洛克> 你這混蛋，一而再、再而三地來搗亂！
14,通訊貝7,[7]<阿爾芭> 我美麗的肌膚都被沙漠風化了……
15,通訊貝8,[8]<西奧多> 我要憑藉自己的力量前進！
16,呼喊,克勞德：愛麗絲！！
17,團隊,((斯諾)) 英雄出馬！
18,新人頻道,[新人]<hex:0212024F03>愛麗絲：遇到什麼麻煩了嗎？
19,戰隊,[戰隊]<吉坦> 你好！
20,跨服通訊貝1,[跨服貝1]<尤菲> 你好！
21,系統訊息,向克勞德發送了入隊邀請。
22,,
23,採集系統訊息,這片地域好像沒有礦脈及石場。
24,錯誤訊息,向克勞德發送悄悄話失敗。
25,默語,默語
26,非玩家角色對話,巴德龍：有什麼我可以幫你的？
27,掉落品訊息,斯考爾得到了玉者之劍。
28,自己的成長訊息,等級提升了！  斯考爾升到了51級。
29,他人的成長訊息,等級提升了！  莉諾雅升到了52級。
30,自己的戰利品訊息,斯考爾在需求條件下對「玉者之劍」擲出了1點。
31,他人的戰利品訊息,莉諾雅在需求條件下對「玉者之劍」擲出了99點。
32,自己的製作訊息,斯考爾製作「英雄之藥」成功！
33,他人的製作訊息,莉諾雅製作「聖戰之藥」成功！
34,交流簿的新留言,部隊房屋的交流簿有新的留言。
35,自己的採集訊息,斯考爾開始了採掘作業。
36,他人的釣魚成果,垂釣老人成功釣上了<hex:024804F2022503><hex:024904F2022603>羅敏薩鯷魚<hex:0249020103><hex:0248020103>（3.3星寸）。
37,自己的戰鬥系統訊息,斯考爾將魔界花打倒了。
38,他人的戰鬥系統訊息,莉諾雅將魔界花打倒了。
39,非玩家角色通告,布萊蒙達：我是在這一帶行商的旅行商人。
40,部隊通告,部隊消息：更改了階級的序列。
41,部隊成員上線通知,部隊消息：克勞德上線了。
42,隊友的成長訊息,等級提升了！  克勞德升到了51級。
43,市場出售訊息,在烏爾達哈市場以100金幣的價格出售的「緞帶」成功售出，獲得了95金幣。
44,隊員招募的通知訊息,當前共有12個隊伍正在招募隊員，其中有3個符合搜索條件。
45,標記設定訊息,斯考爾對塞爾標註了「萬事通1」標記。
46,擲骰的訊息,西捷亞擲出了<hex:0212024A03>666點！
47,新人頻道通知,加入了新人頻道。<hex:02100103>當前參加人數：<hex:0212024F03>指導者10人/<hex:0212024E03>新人30人
48,管弦樂琴的播放訊息,播放了«水晶序曲　～冒險的序章～»。
49,戰隊通告,戰隊消息：梵加入了戰隊。
50,戰隊成員上線通知,戰隊消息：吉坦上線了。
51,自己造成傷害,斯考爾發動攻擊  魔界花受到了9999點傷害。
52,自己的攻擊落空,斯考爾發動攻擊  失誤了！
53,自己的技能,斯考爾正在詠唱「核爆」。<hex:02100103>斯考爾中斷了詠唱「核爆」。
54,自己的道具,斯考爾正在使用「聖靈藥」。<hex:02100103>斯考爾中斷了使用「聖靈藥」。
55,自己進行恢復,   斯考爾恢復了9999點體力。
56,自己給他人附加強化狀態,   對斯考爾附加了「護盾」的效果。
57,自己給他人附加弱化狀態,   對魔界花附加了「失明」的效果。
58,自己受到傷害,魔界花發動攻擊  斯考爾受到了9999點傷害。
59,自己迴避了攻擊,魔界花發動攻擊  失誤了！
60,對自己發動的技能,莉諾雅正在詠唱「護盾」。<hex:02100103>莉諾雅中斷了詠唱「護盾」。
61,對自己使用的道具,莉諾雅使用了「聖靈藥」。<hex:02100103>莉諾雅中斷了使用「聖靈藥」。
62,自己接受恢復,   斯考爾恢復了9999點體力。
63,自己接收他人的強化狀態,   對斯考爾附加了「護盾」的效果。
64,自己接收他人的弱化狀態,   對斯考爾附加了「沉默」的效果。
65,自己的強化狀態效果消失,斯考爾的「護盾」狀態效果消失了。
66,自己的弱化狀態效果消失,斯考爾的「沉默」狀態效果消失了。
67,鬧鐘通知訊息,<hex:0212026903> 鬧鐘 -  12:34 
68,武具投影通知訊息,克萊夫將美堤亞上衣的外型投影到了舊日王國禦敵胸甲上。
69,,
70,,
71,隊友造成傷害,克勞德發動攻擊  魔界花受到了9999點傷害。
72,隊友的攻擊落空,克勞德發動攻擊  失誤了！
73,隊友的技能,克勞德正在詠唱「核爆」。<hex:02100103>克勞德中斷了詠唱「核爆」。
74,隊友的道具,克勞德正在使用「聖靈藥」。<hex:02100103>克勞德中斷了使用「聖靈藥」。
75,隊友進行恢復,   克勞德恢復了9999點體力。
76,隊友給他人附加強化狀態,   對克勞德附加了「護盾」的效果。
77,隊友給他人附加弱化狀態,   對魔界花附加了「失明」的效果。
78,隊友受到傷害,魔界花發動攻擊  克勞德受到了9999點傷害。
79,隊友迴避了攻擊,魔界花發動攻擊  失誤了！
80,對隊友發動的技能,蒂法正在詠唱「護盾」。<hex:02100103>蒂法中斷了詠唱「護盾」。
81,對隊友使用的道具,蒂法使用了「聖靈藥」。<hex:02100103>蒂法中斷了使用「聖靈藥」。
82,隊友接受恢復,   克勞德恢復了9999點體力。
83,隊友接收他人的強化狀態,   對克勞德附加了「護盾」的效果。
84,隊友接收他人的弱化狀態,   對克勞德附加了「沉默」的效果。
85,隊友的強化狀態效果消失,克勞德的「護盾」狀態效果消失了。
86,隊友的弱化狀態效果消失,克勞德的「沉默」狀態效果消失了。
87,,
88,,
89,,
90,,
91,他人造成傷害,洛克發動攻擊  魔界花受到了9999點傷害。
92,他人的攻擊落空,洛克發動攻擊  失誤了！
93,他人的技能,洛克正在詠唱「核爆」。<hex:02100103>洛克中斷了詠唱「核爆」。
94,他人的道具,洛克正在使用「聖靈藥」。<hex:02100103>洛克中斷了使用「聖靈藥」。
95,他人進行恢復,   洛克恢復了9999點體力。
96,他人給他人附加強化狀態,   對洛克附加了「護盾」的效果。
97,他人給他人附加弱化狀態,   對魔界花附加了「失明」的效果。
98,他人受到傷害,魔界花發動攻擊  洛克受到了9999點傷害。
99,他人迴避了攻擊,魔界花發動攻擊  失誤了！
100,對他人發動的技能,蒂娜正在詠唱「護盾」。<hex:02100103>蒂娜中斷了詠唱「護盾」。
101,對他人使用的道具,蒂娜使用了「聖靈藥」。<hex:02100103>蒂娜中斷了使用「聖靈藥」。
102,他人接受恢復,   洛克恢復了9999點體力。
103,他人接收他人的強化狀態,   對洛克附加了「護盾」的效果。
104,他人接收他人的弱化狀態,   對洛克附加了「沉默」的效果。
105,他人的強化狀態效果消失,洛克的「護盾」狀態效果消失了。
106,他人的弱化狀態效果消失,洛克的「沉默」狀態效果消失了。
107,,
108,,
109,,
110,,
111,交戰狀態下的敵人造成傷害,伊迪雅發動攻擊  斯考爾受到了9999點傷害。
112,交戰狀態下的敵人的攻擊落空,伊迪雅發動攻擊  失誤了！
113,交戰狀態下的敵人的技能,伊迪雅正在詠唱「核爆」。<hex:02100103>伊迪雅中斷了詠唱「核爆」。
