key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AKTKSA201_04650_SEQ_00,露天集市的麥及娜想將樣品送往伊修加德周邊。
1,TEXT_AKTKSA201_04650_SEQ_01,和麥及娜進行了交談。需要把樣品送往伊修加德周邊的兩個組織。前往伊修加德砥柱層，在<hex:02280CFF05>EObj<hex:F61EB7B40103>與埃馬內蘭匯合。
2,TEXT_AKTKSA201_04650_SEQ_02,和埃馬內蘭進行了交談。首先要去「美麗的薔薇騎士」身邊。前往阿巴拉提亞雲海的玫瑰園，和拉妮艾特談談。
3,TEXT_AKTKSA201_04650_SEQ_03,將樣品拿給了拉妮艾特。接下來的客戶是赤喙空賊團。通過豎立在阿巴拉提亞雲海寒風島的赤喙空賊團標記，前往帕洛克系留基地。
4,TEXT_AKTKSA201_04650_SEQ_04,赤喙需要的飛空艇部件被其他空賊團搶走了。前往田園郡的封面橋，和利奧法德談談。
5,TEXT_AKTKSA201_04650_SEQ_05,換裝後與利奧法德一起擴散傳聞。和田園郡的冒險者及商人談談。<hex:02100103><hex:02100103>※換裝狀態或同行狀態被解除時，再次與斯塔西婭對話便可進入換裝狀態及同行狀態。
6,TEXT_AKTKSA201_04650_SEQ_06,向冒險者和商人擴散了傳聞。前往田園郡的蝸牛廣場附近，和利奧法德談談，引出空賊。
7,TEXT_AKTKSA201_04650_SEQ_07,鳳頭鸚鵡空賊團逃走了，拉德莉亞也在虛張聲勢後離去。和田園郡蝸牛廣場附近的利奧法德談談。
8,TEXT_AKTKSA201_04650_SEQ_08,利奧法德等人決定去看看薔薇騎兵團的情況後再回去。通過豎立在阿巴拉提亞雲海寒風島的赤喙空賊團標記，前往利奧法德的房間，在<hex:02280CFF05>EObj<hex:F61EB7B60103>等待眾人回來。
9,TEXT_AKTKSA201_04650_SEQ_09,接受了委託的塔塔露以及流浪肖像畫家迪雷梅爾來到了利奧法德的房間，迪雷梅爾也是利奧法德養母蕾米耶的父親。利奧法德向眾人宣布，準備為新的飛空艇起名蕾米耶號。試驗飛行結束後，赤喙再次飛往了雲海。和伊修加德砥柱層的迪雷梅爾談談。
10,TEXT_AKTKSA201_04650_SEQ_10,和迪雷梅爾進行了交談。他表示今後只要給材料費就會為冒險者畫肖像畫。和露天集市的麥及娜談談。
11,TEXT_AKTKSA201_04650_SEQ_11,和麥及娜進行了交談。利奧法德送的東西，是作為項鏈素材無可挑剔的珍貴皮繩。期待著與他們再次相遇的同時，繼續等待麥及娜的委託。
12,TEXT_AKTKSA201_04650_SEQ_12,
13,TEXT_AKTKSA201_04650_SEQ_13,
14,TEXT_AKTKSA201_04650_SEQ_14,
15,TEXT_AKTKSA201_04650_SEQ_15,
16,TEXT_AKTKSA201_04650_SEQ_16,
17,TEXT_AKTKSA201_04650_SEQ_17,
18,TEXT_AKTKSA201_04650_SEQ_18,
19,TEXT_AKTKSA201_04650_SEQ_19,
20,TEXT_AKTKSA201_04650_SEQ_20,
21,TEXT_AKTKSA201_04650_SEQ_21,
22,TEXT_AKTKSA201_04650_SEQ_22,
23,TEXT_AKTKSA201_04650_SEQ_23,
24,TEXT_AKTKSA201_04650_TODO_00,在伊修加德的<hex:02280CFF05>EObj<hex:F61EB7B40103>等待
25,TEXT_AKTKSA201_04650_TODO_01,和玫瑰園的拉妮艾特對話
26,TEXT_AKTKSA201_04650_TODO_02,前往帕洛克系留基地
27,TEXT_AKTKSA201_04650_TODO_03,和田園郡的利奧法德對話
28,TEXT_AKTKSA201_04650_TODO_04,換裝狀態下帶著利奧法德<hex:02100103>和田園郡的人們對話
29,TEXT_AKTKSA201_04650_TODO_05,換裝狀態下帶著利奧法德<hex:02100103>到田園郡的市外對話
30,TEXT_AKTKSA201_04650_TODO_06,和利奧法德對話
31,TEXT_AKTKSA201_04650_TODO_07,在利奧法德的房間的<hex:02280CFF05>EObj<hex:F61EB7B60103>等待
32,TEXT_AKTKSA201_04650_TODO_08,和迪雷梅爾對話
33,TEXT_AKTKSA201_04650_TODO_09,和舊薩雷安的麥及娜對話
34,TEXT_AKTKSA201_04650_TODO_10,
35,TEXT_AKTKSA201_04650_TODO_11,
36,TEXT_AKTKSA201_04650_TODO_12,
37,TEXT_AKTKSA201_04650_TODO_13,
38,TEXT_AKTKSA201_04650_TODO_14,
39,TEXT_AKTKSA201_04650_TODO_15,
40,TEXT_AKTKSA201_04650_TODO_16,
41,TEXT_AKTKSA201_04650_TODO_17,
42,TEXT_AKTKSA201_04650_TODO_18,
43,TEXT_AKTKSA201_04650_TODO_19,
44,TEXT_AKTKSA201_04650_TODO_20,
45,TEXT_AKTKSA201_04650_TODO_21,
46,TEXT_AKTKSA201_04650_TODO_22,
47,TEXT_AKTKSA201_04650_TODO_23,
48,TEXT_AKTKSA201_04650_SYSTEM_100_000,若要進行本任務，<hex:02100103>需要完成「第七星曆編年史：瑪哈之影」。
49,TEXT_AKTKSA201_04650_SYSTEM_100_001,可以從伊修加德砥柱層的神色不安的商人那裡，<hex:02100103>接受「空賊登場」任務，<hex:02100103>完成「第七星曆編年史：瑪哈之影」。
50,TEXT_AKTKSA201_04650_SYSTEM_100_002,「第七星曆編年史：瑪哈之影」的進度可以在日誌中確認。
51,TEXT_AKTKSA201_04650_MEHDJINA_000_001,<hex:022903EB0203>，塔塔露小姐準備發放下一批樣品了！
52,TEXT_AKTKSA201_04650_MEHDJINA_000_002,為了擴大市場，她四處奔波，<hex:02100103>現在應該正跟田園郡的羅薇娜商會進行交易……<hex:02100103>這次也拜託你幫幫她！
53,TEXT_AKTKSA201_04650_MEHDJINA_000_003,這次樣品要送去給皇都伊修加德周邊的兩個組織……<hex:02100103>說起來，這都是多虧了希卡爾多呢。
54,TEXT_AKTKSA201_04650_MEHDJINA_000_004,他在拿到樣品後，把這件事告訴了伊修加德的埃馬內蘭，<hex:02100103>然後大繁榮商店製作的裝備品質的傳聞，<hex:02100103>立刻就傳遍了整個皇都。
55,TEXT_AKTKSA201_04650_MEHDJINA_100_004,結果就是有很多前來詢問商品的人，<hex:02100103>這可是擴大市場的好機會啊！
56,TEXT_AKTKSA201_04650_MEHDJINA_000_005,幫忙擴散傳聞的埃馬內蘭提出了親自送樣品的請求。<hex:02100103>你就先前往皇都，與他匯合吧。
57,TEXT_AKTKSA201_04650_MEHDJINA_000_006,工作的事也說完了，<hex:02100103>來討論一下瞞著塔塔露小姐進行的那件事吧！<hex:02100103>先去把藍寶石拿過來……
58,TEXT_AKTKSA201_04650_MEHDJINA_000_010,……塔塔露小姐母親留給她的項鏈，<hex:02100103>本來準備修復項鏈送給塔塔露小姐當禮物，<hex:02100103>不過，現在手頭只有藍寶石……
59,TEXT_AKTKSA201_04650_MEHDJINA_100_010,……塔塔露小姐母親留給她的項鏈，<hex:02100103>本來準備修復項鏈送給塔塔露小姐當禮物，<hex:02100103>但是現在缺少必要零件。
