key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AKTKBZ002_04580_SEQ_00,碎璃營地的阿圖瓦雷爾正在等待冒險者。
1,TEXT_AKTKBZ002_04580_SEQ_01,阿圖瓦雷爾希望從歸國者那裡打聽消息。一行人分頭行動，冒險者與富爾什諾前往封賞別墅打聽消息。和封賞別墅附近的富爾什諾談談。
2,TEXT_AKTKBZ002_04580_SEQ_02,和富爾什諾進行了交談。和封賞別墅的歸國者們談談。
3,TEXT_AKTKBZ002_04580_SEQ_03,向歸國者們打聽了情報，了解了他們的絕望。和封賞別墅的富爾什諾談談。
4,TEXT_AKTKBZ002_04580_SEQ_04,和富爾什諾共享情報時，聽到了慘叫聲。和封賞別墅的語氣刻薄的歸國者談談。
5,TEXT_AKTKBZ002_04580_SEQ_05,和語氣刻薄的歸國者進行了交談，他的同伴獸化了。在加雷馬的艾布拉納冰原尋找並討伐末日野獸。
6,TEXT_AKTKBZ002_04580_SEQ_06,討伐了末日野獸。和封賞別墅的富爾什諾談談。
7,TEXT_AKTKBZ002_04580_SEQ_07,和富爾什諾交談時，聽到收音機中傳出了奇怪的聲音。阿圖瓦雷爾和白蛇守護人帶著梅爾維布和艾默里克趕到。白蛇守護人說收音機中傳出的話語出自皇族涅爾瓦。偽神獸的真實身份很有可能是涅爾瓦。和盟主們進行了交談，為了緩解歸國者們絕望的心情，眾人決定向他們提議重建加雷馬國。雖然有人反對，但在富爾什諾的巧妙斡旋下成功說服了歸國者們。
8,TEXT_AKTKBZ002_04580_SEQ_08,
9,TEXT_AKTKBZ002_04580_SEQ_09,
10,TEXT_AKTKBZ002_04580_SEQ_10,
11,TEXT_AKTKBZ002_04580_SEQ_11,
12,TEXT_AKTKBZ002_04580_SEQ_12,
13,TEXT_AKTKBZ002_04580_SEQ_13,
14,TEXT_AKTKBZ002_04580_SEQ_14,
15,TEXT_AKTKBZ002_04580_SEQ_15,
16,TEXT_AKTKBZ002_04580_SEQ_16,
17,TEXT_AKTKBZ002_04580_SEQ_17,
18,TEXT_AKTKBZ002_04580_SEQ_18,
19,TEXT_AKTKBZ002_04580_SEQ_19,
20,TEXT_AKTKBZ002_04580_SEQ_20,
21,TEXT_AKTKBZ002_04580_SEQ_21,
22,TEXT_AKTKBZ002_04580_SEQ_22,
23,TEXT_AKTKBZ002_04580_SEQ_23,
24,TEXT_AKTKBZ002_04580_TODO_00,和富爾什諾對話
25,TEXT_AKTKBZ002_04580_TODO_01,和歸國者們對話
26,TEXT_AKTKBZ002_04580_TODO_02,和富爾什諾對話
27,TEXT_AKTKBZ002_04580_TODO_03,和語氣刻薄的歸國者對話
28,TEXT_AKTKBZ002_04580_TODO_04,尋找並討伐末日野獸
29,TEXT_AKTKBZ002_04580_TODO_05,和富爾什諾對話
30,TEXT_AKTKBZ002_04580_TODO_06,
31,TEXT_AKTKBZ002_04580_TODO_07,
32,TEXT_AKTKBZ002_04580_TODO_08,
33,TEXT_AKTKBZ002_04580_TODO_09,
34,TEXT_AKTKBZ002_04580_TODO_10,
35,TEXT_AKTKBZ002_04580_TODO_11,
36,TEXT_AKTKBZ002_04580_TODO_12,
37,TEXT_AKTKBZ002_04580_TODO_13,
38,TEXT_AKTKBZ002_04580_TODO_14,
39,TEXT_AKTKBZ002_04580_TODO_15,
40,TEXT_AKTKBZ002_04580_TODO_16,
41,TEXT_AKTKBZ002_04580_TODO_17,
42,TEXT_AKTKBZ002_04580_TODO_18,
43,TEXT_AKTKBZ002_04580_TODO_19,
44,TEXT_AKTKBZ002_04580_TODO_20,
45,TEXT_AKTKBZ002_04580_TODO_21,
46,TEXT_AKTKBZ002_04580_TODO_22,
47,TEXT_AKTKBZ002_04580_TODO_23,
48,TEXT_AKTKBZ002_04580_KEEPEROFTHEENTWINEDSERPENTS_100_000,我雖是行省出身，卻確確實實是在帝國長大的，<hex:02100103>所以這次的事我無法置身事外。
49,TEXT_AKTKBZ002_04580_FOURCHENAULT_100_001,安樂之所因末日現象受災頗深。<hex:02100103>在那裡居住的加雷馬人想回祖國避難並不奇怪。<hex:02100103>但他們回到這裡後，卻見到如此慘狀……
50,TEXT_AKTKBZ002_04580_ARTOIREL_000_001,從安樂之所回來的歸國者們避開了危險的城區，<hex:02100103>暫留在郊外的廢墟中。<hex:02100103>我們兵分兩路前去打探吧。
51,TEXT_AKTKBZ002_04580_ARTOIREL_000_002,二位就負責去封賞別墅打探一下吧。<hex:02100103>我和守護人閣下先去第四市外站，<hex:02100103>之後再去找你們匯合。
52,TEXT_AKTKBZ002_04580_FOURCHENAULT_000_003,封賞別墅是在此地以東的廢棄宅邸吧。<hex:02100103>走，我們過去看看。
53,TEXT_AKTKBZ002_04580_FOURCHENAULT_000_010,前面應該就是封賞別墅了。<hex:02100103>我們先分頭去詢問歸國者們，然後再總結一下。
54,TEXT_AKTKBZ002_04580_FOURCHENAULT_000_015,打聽完之後我們就在這裡集合，共享一下情報。
55,TEXT_AKTKBZ002_04580_PRICKLYRETURNEE_000_020,想了解情況？<hex:02100103>哼，要是不嫌我發牢騷煩的話隨便你。
56,TEXT_AKTKBZ002_04580_PRICKLYRETURNEE_000_021,我們失去了一切。<hex:02100103>人生、重要的人、兩個故鄉，一切都完了！
57,TEXT_AKTKBZ002_04580_PRICKLYRETURNEE_000_022,我的人生都耗在了兵役上……<hex:02100103>戰火奪走了我的兩個兒子和無數同伴的生命，<hex:02100103>唯一值得驕傲的就是我們成功奪回了安樂之所！
58,TEXT_AKTKBZ002_04580_PRICKLYRETURNEE_000_023,結果卻突然出現了莫名其妙的末日，我們的努力全白費了！<hex:02100103>好不容易回到了加雷馬，卻只看到一片殘垣斷壁……<hex:02100103>這讓我怎麼能不哀嘆！
59,TEXT_AKTKBZ002_04580_YOUNGRETURNEE_000_024,找我們這些淒慘的難民問話？真是惡趣味啊。<hex:02100103>算了，就當消遣，我來給你講講吧。
60,TEXT_AKTKBZ002_04580_YOUNGRETURNEE_000_025,住在安樂之所的人大多是上了年紀的退役軍人，<hex:02100103>也有少部分像我這樣因傷退役的年輕人。<hex:02100103>為了表彰我們做出的貢獻，政府才給了我們安樂之所的居住權。
61,TEXT_AKTKBZ002_04580_YOUNGRETURNEE_000_026,那裡溫暖宜人，十分適合休養身體。<hex:02100103>雖然也有科爾沃人發動叛亂，但多虧有第二軍團壓陣，<hex:02100103>整體治安良好……那裡真是一個好地方。
62,TEXT_AKTKBZ002_04580_YOUNGRETURNEE_000_027,但自從末日現象出現後，往日的安逸樂園便化為了地獄。<hex:02100103>第二軍團在怪物的襲擊下節節敗退、潰不成軍，<hex:02100103>我們可是拼上性命才逃了回來。
63,TEXT_AKTKBZ002_04580_YOUNGRETURNEE_000_028,如今，我們也無法回到安樂之所了。<hex:02100103>帝國已經無力將那片土地從科爾沃人手中奪回來了。<hex:02100103>一切都完了……
