key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_000,我是從東方遠道而來的使節團的一員。<hex:02100103>如果有什麼不清楚的事情，請儘管諮詢。
1,TEXT_FESNYX2026GUIDE_00916_Q1_000_1,想了解什麼？
2,TEXT_FESNYX2026GUIDE_00916_A1_000_1,你在這裡做什麼？
3,TEXT_FESNYX2026GUIDE_00916_A1_000_2,什麼是「降神節」？
4,TEXT_FESNYX2026GUIDE_00916_A1_000_3,取消
5,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_003,又到了舉辦降神節的季節，<hex:02100103>我們是為了加深與艾歐澤亞之間的友誼，<hex:02100103>從東方被派遣過來的使節團。
6,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_004,我們與使節團團長「馬奉行」一起<hex:02100103>策劃了十分有趣的慶典活動。<hex:02100103>敬請期待！
7,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_005,我們舉辦了精彩的節日活動，<hex:02100103>多虧冒險者你的幫助，駿馬巡遊圓滿成功，<hex:02100103>目前降神節正在順利舉辦中。
8,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_006,在節日活動期間內，大家還可以繼續來抽「好運簽」。<hex:02100103>如果有空的話，請你一定要再來嘗試。
9,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_007,又到了舉辦降神節的季節，<hex:02100103>我們是為了加深與艾歐澤亞之間的友誼，<hex:02100103>從東方被派遣過來的使節團。
10,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_008,在利姆薩·羅敏薩，我們與使節團團長「馬奉行」<hex:02100103>策劃了十分有趣的慶典活動。<hex:02100103>如果你有空的話，請前去看看吧。
11,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_009,哎呀，你難道不知道嗎？<hex:02100103>身為東方人的我來給你講解，<hex:02100103>還真是有些奇怪的感覺呢……
12,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_010,降神節是慶祝季節開始新的循環的慶典，<hex:02100103>聽說此地的人們要從十二神中選出新的主神。<hex:02100103>這回被選出的主神是執掌大地與豐饒的女神諾菲卡。
13,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_011,另一方面，在東方的習俗中<hex:02100103>則是從神話中選出的12種動物來執掌新一輪季節。<hex:02100103>這回被選中的動物是「午」。
14,TEXT_FESNYX2026GUIDE_00916_HORSESERVER_000_012,午用東方的文字寫出來的話看起來會有點像「牛」，<hex:02100103>不過指的其實是颯爽地奔馳在原野上的「馬」。<hex:02100103>這也算是東方文化的一種，還請你多包涵。
