key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_001,<hex:022903EB0203>！今天也辛苦了！<hex:02100103>方便的話，要和我聊聊雪棱拜壇嗎？
1,TEXT_REGYOK6ZIRGORTEH_00954_Q1_000_000,想了解什麼？
2,TEXT_REGYOK6ZIRGORTEH_00954_A1_000_001,你是做什麼的？
3,TEXT_REGYOK6ZIRGORTEH_00954_A1_000_002,這裡是什麼地方？
4,TEXT_REGYOK6ZIRGORTEH_00954_A1_000_003,取消
5,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_003,負責掌管工程進度的伍亞固你認識吧？<hex:02100103>我本來是在伍亞固手下工作的建築工匠。
6,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_004,我的工作就是負責把伍亞固的指示挨個傳達給大家，<hex:02100103>再把工程中發生的事總結起來報告給他。<hex:02100103>不管大事小事，就算是有人滑倒了我也會一件不落地報告上去！
7,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_005,雪花的雪，屋棱的棱，這裡就是雪棱拜壇。<hex:02100103>我們的同族過去生活在這裡，照管拜壇。<hex:02100103>他們的使命是舉行儀式，安撫雪精。
8,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_006,而生活在這裡的最後一人名叫達托戈，<hex:02100103>我們現在繼承了她的意志，日復一日地進行著修復工作。
9,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_007,首先是這邊，以駐地為中心開始，<hex:02100103>大家已經漸漸習慣了在山上活動。<hex:02100103>不管是掃雪還是造房子，力氣活都可以放心交給我們！
10,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_008,雪精造成危險之後，<hex:02100103>大家在工作中都提高了警惕。<hex:02100103>萬一它們出現了，我們就按說好的那樣，一口氣逃進駐地躲起來。
11,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_009,當然，雪精們做出這樣的事應該也不是本意，<hex:02100103>我們尤卡巨人心裡都明白的。<hex:02100103>暫時就只有我們自己在工作時多注意了。
12,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_010,前幾天修好食料儲藏庫之後，<hex:02100103>大家儲存食物的時候可方便多了。<hex:02100103>雖說是附帶的，但確實為我們提供了方便。
13,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_011,還有就是，找到達托戈的生墓之後，<hex:02100103>雖然解讀上面的內容還要花一點時間，<hex:02100103>但感覺看到成功的曙光了呢。
14,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_012,總算弄明白敬雪儀式的具體經過了！<hex:02100103>修復工程這邊也快要有結果了。
15,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_013,只要雪精再來這邊玩，<hex:02100103>就說明我們這些天的辛苦沒白費！<hex:02100103>我也要繼續加油了！
16,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_014,達托戈是部族的最後一人，在她之後，我們繼承了這項使命，<hex:02100103>成功舉行了儀式，讓雪精們恢復了正常。
17,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_015,我和雪精們玩得太投入，<hex:02100103>結果被伍亞固罵了……<hex:02100103>唉，玩歸玩，工作還得好好幹啊。
18,TEXT_REGYOK6ZIRGORTEH_00954_BUGARDOR_000_016,今後我們也會繼續留在這裡，<hex:02100103>努力經營和雪精們的關係，努力照看好拜壇的方方面面，<hex:02100103>再也不會讓同樣的意外發生！
