key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_000,非常抱歉。<hex:02100103>目前服務擁擠，正在排隊……<hex:02100103>我會依序進行指引，請稍候。
1,TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_010,您想找哪方面的書？<hex:02100103>我會根據您的知識水平和資格<hex:02100103>推薦最合適的圖書。
2,TEXT_REGNOT5NOUMENONAUTOMATON_00767_Q1_000_100,如何作答？
3,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_101,想了解「宇宙真理」
4,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_102,想了解「哲學家議會」
5,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_103,想了解「薩雷安的思想」
6,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_104,想了解「健康的秘訣」
7,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_105,想了解「薩雷安的建國歷史」
8,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_106,想了解「殖民城市」
9,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_107,想了解「香錦草」
10,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_111,想了解「圖拉爾大陸的蔬菜」
11,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_112,想了解「圖拉爾大陸的生物」
12,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_113,想了解「行星海德林的地政學」
13,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_114,想了解「青魔法」
14,TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_110,取消
15,TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_120,經詳細查找發現符合您需求的圖書一本。<hex:02100103>已為您傳送。<hex:02100103>請慢慢品讀。
16,TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_130,哎呀，您是持有靈魂水晶的賢者對嗎？<hex:02100103>那麼，我為您推薦這本書，已為您傳送。<hex:02100103>請慢慢品讀。
17,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_201,(-«蒼穹概論導言»-)你是否萌生過了解神秘蒼穹的念頭？<hex:02100103>我指的不是明天的天氣如何，<hex:02100103>是更為遙遠的……與運動的太陽和璀璨星辰有關的知識。
18,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_202,(-«蒼穹概論導言»-)雖然我們將遙遠的天空稱作為蒼穹，<hex:02100103>可有人認為那裡具有無限且無法測量的廣大空間，<hex:02100103>從而創造出了「宇宙」這一詞彙並得到了學者們的一致認同。
19,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_203,(-«蒼穹概論導言»-)宇宙至今仍是我們尚未踏足的未知領域。<hex:02100103>為何這顆行星會圍繞太陽運轉，<hex:02100103>能做出解釋的人寥寥可數吧。
20,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_204,(-«蒼穹概論導言»-)曾經最接近這深奧的宇宙真理的<hex:02100103>是古代亞拉戈的魔科學者們。<hex:02100103>他們發射了衛月，想要開拓行星外的世界。
21,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_205,(-«蒼穹概論導言»-)……<hex:02100103>看到這裡，<hex:02100103>也許你會覺得這是一門不切實際的學問。
22,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_206,(-«蒼穹概論導言»-)但假如我說……<hex:02100103>你今晚仰望的星座與很久以前的排列不同，<hex:02100103>未來還會不斷改變位置呢？
23,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_207,(-«蒼穹概論導言»-)如果我說行星之間的距離還在不斷擴大，<hex:02100103>是否會提起你的興趣呢？
24,TEXT_REGNOT5NOUMENONAUTOMATON_00767_SYSTEM_000_208,推薦的書中<hex:02100103>記錄有關於「宇宙真理」的基礎內容。
25,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_211,(-«從議會的角度看城邦的變遷»-)薩雷安從建國以來一直都是<hex:02100103>通過市民議會來決定各種重要事項及政策。<hex:02100103>全體市民可任意參加該議會。
26,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_212,(-«從議會的角度看城邦的變遷»-)可是隨著人口增長，參會人數也越來越多。<hex:02100103>出現了議論時間過長、政策難定等弊病。
27,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_213,(-«從議會的角度看城邦的變遷»-)雖然嘗試了眾多的方案，<hex:02100103>但最終通過審議，議會改為間接民主制。<hex:02100103>此事件發生在第六星曆的201年。
28,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_214,(-«從議會的角度看城邦的變遷»-)此後將由成年薩雷安市民進行投票<hex:02100103>選出99名議員主持並參加議會。<hex:02100103>這便是哲學家議會的由來。
29,TEXT_REGNOT5NOUMENONAUTOMATON_00767_SYSTEM_000_215,推薦的書中<hex:02100103>記錄有關於「哲學家議會」的基礎內容。
30,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_221,(-«聚集知識之人»-)薩雷安的建國始祖紐恩克雷夫……<hex:02100103>他在第六靈災中目睹了人類之間野蠻的戰鬥，<hex:02100103>於是在北洋建造村落時如此說道：
31,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_222,(-«聚集知識之人»-)「要遠離戰鬥，通過知識和理性尋求進步。」
32,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_223,(-«聚集知識之人»-)薩雷安人民將他的話謹記於心，<hex:02100103>一直以成為聚集知識之人為己任。
33,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_224,(-«聚集知識之人»-)如此彙集的大量知識<hex:02100103>使薩雷安成為獨一無二的國家，<hex:02100103>用知識代替武力治國理政。
34,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_225,(-«聚集知識之人»-)舉例來說，精通經濟學的人可以叱吒商界，<hex:02100103>熟知農業的人能夠五穀豐登。<hex:02100103>若是深悉工程學，修建水井或水道就能阻止用水之爭。
35,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_226,(-«聚集知識之人»-)兜售這些知識可以獲取更多利益。<hex:02100103>推廣這些知識則能推動整個世界和人類的進步。
36,TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_227,(-«聚集知識之人»-)因此無論迎來怎樣的時代，<hex:02100103>為了自己和更加美好的未來，<hex:02100103>我們薩雷安人絕對不能忘記建國始祖的教誨。
37,TEXT_REGNOT5NOUMENONAUTOMATON_00767_SYSTEM_000_228,推薦的書中<hex:02100103>記錄有關於「薩雷安的思想」的基礎內容。
