key,0
#,
offset,0
int32,str
0,
1,塔塔露
2,塔塔露·塔露
3,拂曉血盟<hex:02100103>資金管理人
4,　　擔任拂曉血盟接待員的拉拉菲爾族女性。由於同時管理著拂曉的活動經費，也被稱為拂曉的資金管理人。<hex:02100103><hex:02100103>　　塔塔露·塔露出生在烏爾達哈的一個商人家庭中。在她還很小的時候，父親借款投資失敗導致家業破產，無憂無慮的生活從此一去不返。反覆借錢與被催債的生活讓她從小就認識到了金錢的重要性，也養成了對金錢異常執著的性格。在12歲的時候，塔塔露開始給寶石商人做學徒工來填補家庭收入。在這段時間裡，她認識了經常去店裡賣原石的敏菲利亞。後來敏菲利亞在建立「十二跡調查會」時，邀請塔塔露去負責會計業務，她十分痛快地答應了。<hex:02100103>　　因為在她看來，加入這個組織，她就有機會幫助和自己有類似遭遇的家庭，這比為了生意工作更有意義，於是「拂曉」的資金管理人就此誕生。之後，塔塔露便在據點「沙之家」擔任接待員，利用自己擅長的交涉術積累了眾多人脈，為同時也是異能者互助組織的十二跡調查會發掘了不少擁有「超越之力」的異能者。<hex:02100103><hex:02100103>　　第七靈災後，「救世詩盟」與「十二跡調查會」合併為「拂曉血盟」，塔塔露也繼續在其中擔任接待員和資金管理人。在拂曉血盟被捲入烏爾達哈政變風波面臨瓦解之際，塔塔露與光之戰士、阿爾菲諾一同逃往伊修加德，為重建組織奔波著。之後，塔塔露還曾隨行東方，在黃金港與東阿爾迪納德商會建立了合作關係，大力支援著當地的反帝國活動。<hex:02100103><hex:02100103>　　塔塔露也曾懊惱過自己在戰鬥中無法出力，因而試著學習了與自己擅長的計算術相通的秘術。遺憾的是，塔塔露召喚出的寶石獸不太聽話，總是逃走，無奈之下她只得放棄這條道路，將注意力轉移到了學習採礦、裁縫等技能上。最終，她成為了一名一流的工匠。<hex:02100103>　　塔塔露出品的裝備品質優良，連光之戰士的旅行裝束、賢人們的裝備都出自她手。之後更是在舊薩雷安開設了專門售賣武具的「大繁榮商店」。
5,拂曉血盟
6,拂曉血盟
7,　　由路易索瓦·萊韋耶勒爾為拯救艾歐澤亞而設立的「救世詩盟」和敏菲利亞·沃德設立的「十二跡調查會」在第七靈災後合併而成的秘密組織。<hex:02100103><hex:02100103>　　拂曉血盟的主要目的是解決蠻神問題、阻止加雷馬帝國的侵略，以及對抗隱藏在歷史陰影中蠢蠢欲動的「無影」。在活動期間，與艾歐澤亞各國的盟主建立了緊密的合作關係。<hex:02100103>　　為了解決這些問題，拂曉血盟著眼於異能「超越之力」，積極地邀請超能力者加入組織。後來被稱為「英雄」的光之戰士，也是因擁有「超越之力」被邀請加入的一員。<hex:02100103><hex:02100103>　　他們在討伐蠻神以及對抗帝國第十四軍團的作戰中發揮了十分重要的作用。登上世界舞台、為人們所熟知後，拂曉血盟設立了先鋒組織「水晶義勇隊」，但這次嘗試卻捲入了一場陰謀。他們被烏爾達哈共和派誣陷暗殺娜娜莫女王，並遭到追捕，水晶義勇隊也由此名存實亡。王黨派的勞班和娜娜莫女王重新掌權後，立刻為他們洗清了不白之冤。此後，拂曉血盟再次在解放阿拉米格與多瑪的戰爭中大放光彩。<hex:02100103><hex:02100103>　　在解決末日危機之後，他們對外宣稱組織的使命已結束，就此解散。實際上只是退居幕後，再次以秘密組織的形式繼續活動。
8,末日之劫
9,末日之劫
10,　　太古時期席捲了星球亞伊太利斯的災難。<hex:02100103>　　古代的亞伊太利斯人擁有堪稱奇蹟的魔法能力，他們驅使創造魔法創造種種生命，讓整個星球日漸繁榮。然而，在經歷了大地轟鳴等異常現象之後，人們熟悉的創造魔法開始失控，眾人的恐懼化為異形的野獸，將人類引向萬劫不復之地。<hex:02100103><hex:02100103>　　當時的人類代表十四人委員會通過調查發現，當某地流動於行星最外層的乙太流，即所謂的天脈較為薄弱時，當地發生這種異常現象的可能性就會大大增加。為了解決末日危機，人們召喚出「佐迪亞克」，重塑了行星之理。即使這次召喚需要獻祭在災難中倖存的半數人類，大多數人也選擇贊同並接受了這個慘痛的代價。<hex:02100103><hex:02100103>　　此後亞伊太利斯又經歷了漫長的時光，現代的人們已經遺忘了這場災難。但在終末使徒宣稱要讓古代的末日災難重現人間後，拂曉血盟便對此事展開了調查。<hex:02100103>　　調查結果表明，這場災難的源頭，正是古代人赫爾墨斯為了尋求生命的意義而放出天外的、能夠穿行於星際的創造生物梅蒂恩。吸收了已逝星球的絕望的梅蒂恩化身謳歌終結之物，企圖利用受情感影響的力量「潛能量」毀滅亞伊太利斯，結束人們充滿痛苦的「生」的循環。<hex:02100103><hex:02100103>　　最終，光之戰士一行人將希望帶到宇宙盡頭，戰勝了謳歌終結之物，末日之劫也就此結束。
11,埃斯蒂尼安
12,埃斯蒂尼安·瓦爾利諾
13,拂曉血盟<hex:02100103>龍騎士
