key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBAOZ800_04777_SEQ_00,烏爾達哈的馬丁看起來有些不安。
1,TEXT_JOBAOZ800_04777_SEQ_01,和馬丁進行了交談，得知蘿伊絲已經完成了新對手的準備工作。因為這次來了一個特殊的協助者，所以眾人決定一同前去打個招呼。和烏爾達哈政府層的蘿伊絲談談。
2,TEXT_JOBAOZ800_04777_SEQ_02,特殊的協助者原來是戈德伯特。多虧了他的技術和經驗，才能成功製作出新對手的服裝和舞台裝置。之後在天青鬥場進行了試裝和舞台裝置的試運行，馬丁順利成為了黃金鬥士金德爾。看樣子新對手的角色設定來源於他守財奴的本性。和密爾瓦內斯禮拜堂附近的馬丁談談。
3,TEXT_JOBAOZ800_04777_SEQ_03,二人之間的師徒對決以這樣一種出乎意料的形式得以實現，在假面狂歡中擊敗黃金鬥士金德爾吧！<hex:02100103><hex:02100103>※完成假面狂歡的第32關後，可以從密爾瓦內斯禮拜堂附近的馬丁那裡領取下一個青魔法師任務。
4,TEXT_JOBAOZ800_04777_SEQ_04,
5,TEXT_JOBAOZ800_04777_SEQ_05,
6,TEXT_JOBAOZ800_04777_SEQ_06,
7,TEXT_JOBAOZ800_04777_SEQ_07,
8,TEXT_JOBAOZ800_04777_SEQ_08,
9,TEXT_JOBAOZ800_04777_SEQ_09,
10,TEXT_JOBAOZ800_04777_SEQ_10,
11,TEXT_JOBAOZ800_04777_SEQ_11,
12,TEXT_JOBAOZ800_04777_SEQ_12,
13,TEXT_JOBAOZ800_04777_SEQ_13,
14,TEXT_JOBAOZ800_04777_SEQ_14,
15,TEXT_JOBAOZ800_04777_SEQ_15,
16,TEXT_JOBAOZ800_04777_SEQ_16,
17,TEXT_JOBAOZ800_04777_SEQ_17,
18,TEXT_JOBAOZ800_04777_SEQ_18,
19,TEXT_JOBAOZ800_04777_SEQ_19,
20,TEXT_JOBAOZ800_04777_SEQ_20,
21,TEXT_JOBAOZ800_04777_SEQ_21,
22,TEXT_JOBAOZ800_04777_SEQ_22,
23,TEXT_JOBAOZ800_04777_SEQ_23,
24,TEXT_JOBAOZ800_04777_TODO_00,和蘿伊絲對話
25,TEXT_JOBAOZ800_04777_TODO_01,和馬丁對話
26,TEXT_JOBAOZ800_04777_TODO_02,
27,TEXT_JOBAOZ800_04777_TODO_03,
28,TEXT_JOBAOZ800_04777_TODO_04,
29,TEXT_JOBAOZ800_04777_TODO_05,
30,TEXT_JOBAOZ800_04777_TODO_06,
31,TEXT_JOBAOZ800_04777_TODO_07,
32,TEXT_JOBAOZ800_04777_TODO_08,
33,TEXT_JOBAOZ800_04777_TODO_09,
34,TEXT_JOBAOZ800_04777_TODO_10,
35,TEXT_JOBAOZ800_04777_TODO_11,
36,TEXT_JOBAOZ800_04777_TODO_12,
37,TEXT_JOBAOZ800_04777_TODO_13,
38,TEXT_JOBAOZ800_04777_TODO_14,
39,TEXT_JOBAOZ800_04777_TODO_15,
40,TEXT_JOBAOZ800_04777_TODO_16,
41,TEXT_JOBAOZ800_04777_TODO_17,
42,TEXT_JOBAOZ800_04777_TODO_18,
43,TEXT_JOBAOZ800_04777_TODO_19,
44,TEXT_JOBAOZ800_04777_TODO_20,
45,TEXT_JOBAOZ800_04777_TODO_21,
46,TEXT_JOBAOZ800_04777_TODO_22,
47,TEXT_JOBAOZ800_04777_TODO_23,
48,TEXT_JOBAOZ800_04777_MARTYN_100_000,
49,TEXT_JOBAOZ800_04777_SYSTEM_100_001,
50,TEXT_JOBAOZ800_04777_MARTYN_000_000,<hex:022903EB0203>，看樣子你又變強了啊。<hex:02100103>就讓我來親自感受一下你現在的實力吧……
51,TEXT_JOBAOZ800_04777_MARTYN_000_001,雖然我身體上的疲勞已經恢復得差不多了，<hex:02100103>不過對於自己成為新對手這件事，<hex:02100103>我還是感到緊張不安。
52,TEXT_JOBAOZ800_04777_ROYSE_000_002,不用這麼擔心啦，<hex:02100103>我這邊的準備工作也都順利完成了。
53,TEXT_JOBAOZ800_04777_ROYSE_000_003,新對手的服裝和舞台裝置都已準備就緒。<hex:02100103>當然，我也為<hex:022903EB0203>準備了新衣服。
54,TEXT_JOBAOZ800_04777_ROYSE_000_004,不過這次製作的過程中，<hex:02100103>我們得到了一個特殊的人的幫助。
55,TEXT_JOBAOZ800_04777_ROYSE_000_005,我想請大家一起去跟這位協助者打個招呼，<hex:02100103>可以到政府層來一趟嗎？
56,TEXT_JOBAOZ800_04777_MARTYN_000_006,政、政府層？<hex:02100103>這位協助者到底是誰啊？
57,TEXT_JOBAOZ800_04777_MARTYN_000_010,每次一來到這裡就感覺內心無法平靜……
58,TEXT_JOBAOZ800_04777_PYANDIH_000_011,協助者到底是誰呢？<hex:02100103>內心還有點小激動呢……
59,TEXT_JOBAOZ800_04777_ROYSE_000_020,那我這就把這位特殊的協助者叫來吧。
60,TEXT_JOBAOZ800_04777_ROYSE_000_021,為了能讓假面狂歡的新對手帶來一些新氣象，<hex:02100103>這次特別請到了這位先生來協助我們！
61,TEXT_JOBAOZ800_04777_GODBERT_000_022,呵呵呵！<hex:02100103>能見到假面狂歡的各位實在是榮幸！
62,TEXT_JOBAOZ800_04777_MARTYN_000_023,既是沙蠍眾的一員，又是金碟遊樂場的所有者，<hex:02100103>同時也是曼德維爾家族及曼德維爾集團代表的……<hex:02100103>戈、戈德伯特先生！
63,TEXT_JOBAOZ800_04777_MARTYN_100_023,也就是說……特別有錢！
64,TEXT_JOBAOZ800_04777_GODBERT_000_024,哎呀，原來<hex:022903EB0203>閣下也是假面狂歡的相關人員嗎？<hex:02100103>你可真是個大忙人啊。
65,TEXT_JOBAOZ800_04777_GODBERT_100_024,哎呀，原來你也是假面狂歡的相關人員嗎？
66,TEXT_JOBAOZ800_04777_GODBERT_000_025,提豐也曾經在假面狂歡當中登場過，<hex:02100103>我們與天青鬥場從很久以前就一直保持著合作關係……
67,TEXT_JOBAOZ800_04777_GODBERT_000_026,此次為了讓新對手能夠給人眼前一亮的感覺，<hex:02100103>我們公司也是不遺餘力地將自己的技術和經驗都貢獻了出來。
68,TEXT_JOBAOZ800_04777_ROYSE_000_027,正是有了戈德伯特先生的幫助，<hex:02100103>服裝和舞台裝置方面才能實現質的飛躍。<hex:02100103>這次真的非常感謝！
69,TEXT_JOBAOZ800_04777_GODBERT_000_028,要說感謝的應該是我，<hex:02100103>畢竟假面狂歡也為我們帶來了很多靈感源泉。<hex:02100103>願今後我們能一起為烏爾達哈的娛樂產業做出貢獻！
70,TEXT_JOBAOZ800_04777_GODBERT_000_029,那麼我還有其他事要忙，<hex:02100103>就先告辭了。
71,TEXT_JOBAOZ800_04777_ROYSE_000_030,招呼也都打完了，<hex:02100103>接下來就該進行試裝和舞台裝置的試運行了。<hex:02100103>我們趕緊前往天青鬥場吧！
72,TEXT_JOBAOZ800_04777_ROYSE_000_200,嗯，新衣服很合身嘛！
