key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESSXT101_04796_SEQ_00,※本任務是特定期間內的任務。<hex:02100103><hex:02100103>翠玉大街的新人冒險者正在尋找光之戰士。
1,TEXT_FESSXT101_04796_SEQ_01,※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束後無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>原來是異國的詩人委託了新人冒險者來找光之戰士。異國的詩人此次因為一個預知夢向冒險者提出了不可思議的委託。和東薩納蘭火牆的異國的詩人談談。
2,TEXT_FESSXT101_04796_SEQ_02,和異國的詩人進行了交談。在火牆的<hex:02280CFF05>EObj<hex:F61EB9430103>用望遠鏡確認周圍是否有可疑的東西。
3,TEXT_FESSXT101_04796_SEQ_03,使用望遠鏡發現了昏迷的青年。與異國的詩人一起救助了青年，青年自稱克萊夫，並失去了除了名字以外的記憶。異國的詩人帶克萊夫去了福隆戴爾藥學院。在烏爾達哈學者走廊的<hex:02280CFF05>EObj<hex:F61EB98E0103>等待。
4,TEXT_FESSXT101_04796_SEQ_04,和異國的詩人與克萊夫匯合了。交流過後，冒險者決定幫助失憶的克萊夫找回記憶。和學者走廊的克萊夫談談。
5,TEXT_FESSXT101_04796_SEQ_05,和克萊夫進行了交談。準備好後再次和克萊夫對話。
6,TEXT_FESSXT101_04796_SEQ_06,
7,TEXT_FESSXT101_04796_SEQ_07,
8,TEXT_FESSXT101_04796_SEQ_08,
9,TEXT_FESSXT101_04796_SEQ_09,
10,TEXT_FESSXT101_04796_SEQ_10,
11,TEXT_FESSXT101_04796_SEQ_11,
12,TEXT_FESSXT101_04796_SEQ_12,
13,TEXT_FESSXT101_04796_SEQ_13,
14,TEXT_FESSXT101_04796_SEQ_14,
15,TEXT_FESSXT101_04796_SEQ_15,
16,TEXT_FESSXT101_04796_SEQ_16,
17,TEXT_FESSXT101_04796_SEQ_17,
18,TEXT_FESSXT101_04796_SEQ_18,
19,TEXT_FESSXT101_04796_SEQ_19,
20,TEXT_FESSXT101_04796_SEQ_20,
21,TEXT_FESSXT101_04796_SEQ_21,
22,TEXT_FESSXT101_04796_SEQ_22,
23,TEXT_FESSXT101_04796_SEQ_23,
24,TEXT_FESSXT101_04796_TODO_00,和火牆的異國的詩人對話
25,TEXT_FESSXT101_04796_TODO_01,在指定地點用望遠鏡觀察
26,TEXT_FESSXT101_04796_TODO_02,在烏爾達哈的指定地點等待
27,TEXT_FESSXT101_04796_TODO_03,和克萊夫對話
28,TEXT_FESSXT101_04796_TODO_04,
29,TEXT_FESSXT101_04796_TODO_05,
30,TEXT_FESSXT101_04796_TODO_06,
31,TEXT_FESSXT101_04796_TODO_07,
32,TEXT_FESSXT101_04796_TODO_08,
33,TEXT_FESSXT101_04796_TODO_09,
34,TEXT_FESSXT101_04796_TODO_10,
35,TEXT_FESSXT101_04796_TODO_11,
36,TEXT_FESSXT101_04796_TODO_12,
37,TEXT_FESSXT101_04796_TODO_13,
38,TEXT_FESSXT101_04796_TODO_14,
39,TEXT_FESSXT101_04796_TODO_15,
40,TEXT_FESSXT101_04796_TODO_16,
41,TEXT_FESSXT101_04796_TODO_17,
42,TEXT_FESSXT101_04796_TODO_18,
43,TEXT_FESSXT101_04796_TODO_19,
44,TEXT_FESSXT101_04796_TODO_20,
45,TEXT_FESSXT101_04796_TODO_21,
46,TEXT_FESSXT101_04796_TODO_22,
47,TEXT_FESSXT101_04796_TODO_23,
48,TEXT_FESSXT101_04796_NOVICEADVENTURER04797_000_001,那、那個……請問……<hex:02100103>請問你是……<hex:022903EB0203>嗎？
49,TEXT_FESSXT101_04796_Q3_100_001,你是<hex:022903EB0203>嗎？
50,TEXT_FESSXT101_04796_NOVICEADVENTURER04797_000_002,抱、抱歉！對不起我認錯人了！<hex:02100103>糟了糟了<hex:02080DE905FF04>她<hex:FF04>他<hex:03>到底去哪了……
51,TEXT_FESSXT101_04796_NOVICEADVENTURER04797_000_003,太好了……<hex:02100103>是、是這樣的，其實有人給了我一個特別委託。<hex:02100103>讓我替他找你……
52,TEXT_FESSXT101_04796_NOVICEADVENTURER04797_000_004,我這就把委託我的人喊來！<hex:02100103>請你稍等我一下！
53,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_005,(-？？？？-)你好啊，讓你久等了吧？
54,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_006,就是我請了剛才那個冒險者找你。
55,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_007,抱歉，突然把你叫過來。<hex:02100103>其實我這裡有個事情，交給別人我不放心。<hex:02100103>只好委託你跑一趟了。
56,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_008,之所以這麼做，是因為我做了個奇怪的夢。
57,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_009,夢中的我正在觀賞星空。<hex:02100103>只見天宇之中，耀眼的白星與灼熱的赤星沿著各自的軌道巡迴往復，<hex:02100103>那夜空美得讓我捨不得移開眼睛。
58,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_010,可突然，那赤星改變了自己的軌道，它轉向烈焰熾灼的大地，<hex:02100103>赤星與白星交錯的瞬間，二者同時綻放出了耀眼的光芒。<hex:02100103>那是何等的奇蹟，是何等震撼人心的壯麗畫面啊。
59,TEXT_FESSXT101_04796_Q1_000_000,如何作答？
60,TEXT_FESSXT101_04796_A1_000_001,我好像……不是很明白你想說什麼？
61,TEXT_FESSXT101_04796_A1_000_002,這個夢跟我有關係嗎？
62,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_012,老實說，我也不確定該如何解釋這個夢。<hex:02100103>我冷靜下來後重新考慮了一番，雖說再美的夢也只是個夢，<hex:02100103>但是，對於這個夢，我也有種猜測，這很可能是一個預知夢。
63,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_013,我現在就來為你說明一下吧。
64,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_014,我個人得出的猜測是這樣的。<hex:02100103>夢裡的白星，指的應該是有著艾歐澤亞的大英雄之稱的光之戰士，<hex:02100103>也就是說，指的是你。
65,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_015,如果這個猜測是正確的，你在之後不久，<hex:02100103>就會與赤星所象徵的那個人相遇。
66,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_016,我委託你的工作就是，請你和我一起前往「烈焰熾灼的大地」，<hex:02100103>讓我見證那個夢的結局會走向何方。你看怎麼樣？<hex:02100103>當然啦，我也不會忘記給你支付恰當的報酬。
67,TEXT_FESSXT101_04796_WANDERINGMINSTREL_000_017,現在的問題是這個「烈焰熾灼的大地」<hex:02100103>指的到底是艾歐澤亞的哪裡……<hex:02100103>你有什麼想法嗎？
68,TEXT_FESSXT101_04796_Q2_000_000,如何作答？
69,TEXT_FESSXT101_04796_A2_000_001,我和伊弗利特戰鬥的地方叫「炎帝陵」
