key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGKW002_05320_SEQ_00,<hex:024804F201F603><hex:024904F201F703>特殊規則： 職業固定<hex:0249020103><hex:0248020103><hex:02100103>幻境村的利迪爾賽爾正準備製作新武器。
1,TEXT_KINGKW002_05320_SEQ_01,※本任務為<hex:024804F201F603><hex:024904F201F703><hex:0249020103><hex:0248020103> 職業固定任務，<hex:02100103>　需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>為了獲得<hex:02280BFF05>Item<hex:F2BA860103>，需要支付同等價值的東西。與羅薇娜商會完成交易後，將3個<hex:02280BFF05>Item<hex:F2BA860103>交給幻境村的多多庫利。
2,TEXT_KINGKW002_05320_SEQ_02,將<hex:02280BFF05>Item<hex:F2BA860103>交給了多多庫利。在戰鬥中充分使用新獲得的幻境武器。
3,TEXT_KINGKW002_05320_SEQ_03,
4,TEXT_KINGKW002_05320_SEQ_04,
5,TEXT_KINGKW002_05320_SEQ_05,
6,TEXT_KINGKW002_05320_SEQ_06,
7,TEXT_KINGKW002_05320_SEQ_07,
8,TEXT_KINGKW002_05320_SEQ_08,
9,TEXT_KINGKW002_05320_SEQ_09,
10,TEXT_KINGKW002_05320_SEQ_10,
11,TEXT_KINGKW002_05320_SEQ_11,
12,TEXT_KINGKW002_05320_SEQ_12,
13,TEXT_KINGKW002_05320_SEQ_13,
14,TEXT_KINGKW002_05320_SEQ_14,
15,TEXT_KINGKW002_05320_SEQ_15,
16,TEXT_KINGKW002_05320_SEQ_16,
17,TEXT_KINGKW002_05320_SEQ_17,
18,TEXT_KINGKW002_05320_SEQ_18,
19,TEXT_KINGKW002_05320_SEQ_19,
20,TEXT_KINGKW002_05320_SEQ_20,
21,TEXT_KINGKW002_05320_SEQ_21,
22,TEXT_KINGKW002_05320_SEQ_22,
23,TEXT_KINGKW002_05320_SEQ_23,
24,TEXT_KINGKW002_05320_TODO_00,將<hex:02280BFF05>Item<hex:F2BA860103>交給多多庫利
25,TEXT_KINGKW002_05320_TODO_01,
26,TEXT_KINGKW002_05320_TODO_02,
27,TEXT_KINGKW002_05320_TODO_03,
28,TEXT_KINGKW002_05320_TODO_04,
29,TEXT_KINGKW002_05320_TODO_05,
30,TEXT_KINGKW002_05320_TODO_06,
31,TEXT_KINGKW002_05320_TODO_07,
32,TEXT_KINGKW002_05320_TODO_08,
33,TEXT_KINGKW002_05320_TODO_09,
34,TEXT_KINGKW002_05320_TODO_10,
35,TEXT_KINGKW002_05320_TODO_11,
36,TEXT_KINGKW002_05320_TODO_12,
37,TEXT_KINGKW002_05320_TODO_13,
38,TEXT_KINGKW002_05320_TODO_14,
39,TEXT_KINGKW002_05320_TODO_15,
40,TEXT_KINGKW002_05320_TODO_16,
41,TEXT_KINGKW002_05320_TODO_17,
42,TEXT_KINGKW002_05320_TODO_18,
43,TEXT_KINGKW002_05320_TODO_19,
44,TEXT_KINGKW002_05320_TODO_20,
45,TEXT_KINGKW002_05320_TODO_21,
46,TEXT_KINGKW002_05320_TODO_22,
47,TEXT_KINGKW002_05320_TODO_23,
48,TEXT_KINGKW002_05320_GEROLT_000_001,凡人無法發揮它的價值，<hex:02100103>只有本大爺的技術才配得上這件工具。
49,TEXT_KINGKW002_05320_LYDIRCEIL_000_010,蓋羅爾特好像準備好了，這就開始製作新武器吧。
50,TEXT_KINGKW002_05320_SYSTEM_000_011,在任務「製作幻境武器」中將獲得當前<hex:020837E3E94509FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF1E><hex:02081AE1E94513FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF01><hex:03><hex:03>特職的武器。<hex:02100103>要以<hex:020837E3E94509FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF1E><hex:02081AE1E94513FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF01><hex:03><hex:03>接受該任務嗎？
51,TEXT_KINGKW002_05320_Q1_000_000,要製作<hex:020837E3E94509FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF1E><hex:02081AE1E94513FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF01><hex:03><hex:03>的武器嗎？
52,TEXT_KINGKW002_05320_A1_000_001,再考慮一下
53,TEXT_KINGKW002_05320_A1_000_002,製作<hex:020837E3E94509FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF1E><hex:02081AE1E94513FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF01><hex:03><hex:03>的武器
54,TEXT_KINGKW002_05320_SYSTEM_000_013,請轉換為與所需武器相應的特職，<hex:02100103>再次和利迪爾賽爾談談。
55,TEXT_KINGKW002_05320_GEROLT_050_013,好了，接下來就是製作武器所需的素材了，<hex:02100103>需要那種能夠承受強大魔力的材料。
56,TEXT_KINGKW002_05320_GEROLT_060_013,這座島上能採集到的<hex:02280BFF05>Item<hex:F2BA860103>就很合適，<hex:02100103>調查隊那邊能搞到嗎？
57,TEXT_KINGKW002_05320_LYDIRCEIL_100_013,
58,TEXT_KINGKW002_05320_LYDIRCEIL_000_014,這種礦石倒是採集到了不少，只是……
59,TEXT_KINGKW002_05320_LYDIRCEIL_000_015,島上獲取的稀有品，都會送往羅薇娜商會……<hex:02100103>這好像是提供資金援助的條件之一。
60,TEXT_KINGKW002_05320_LYDIRCEIL_100_015,其實……派遣蓋羅爾特的正是羅薇娜商會……
61,TEXT_KINGKW002_05320_ERMINA_000_016,初次見面，我是羅薇娜商會的爾密娜。<hex:02100103>相信你們也知道，我們商會為本次調查贊助了大量資金。
62,TEXT_KINGKW002_05320_ERMINA_000_017,作為回報，我們將獨佔調查隊採集到的資源……<hex:02100103>如果需要用到什麼素材，可以直接跟我說。
63,TEXT_KINGKW002_05320_ERMINA_000_018,交換1個<hex:02280BFF05>Item<hex:F2BA860103>需要用到500個<hex:02280FFF05>Item<hex:FF06>　47<hex:0103>，<hex:02100103>如果您收集到足夠的<hex:02280FFF05>Item<hex:FF06>　47<hex:0103>了，就請來找我吧。
64,TEXT_KINGKW002_05320_GEROLT_100_018,只要有3個<hex:02280BFF05>Item<hex:F2BA860103>就足夠了……<hex:02100103>不過……我突然就失去了幹勁，<hex:02100103>麻煩你們找別人做一下加工前的準備工作吧。
65,TEXT_KINGKW002_05320_DODOKKULI_200_018,(-？？？？-)哎呀哎呀，真是沒辦法呢……
66,TEXT_KINGKW002_05320_DODOKKULI_250_018,初次見面，我叫多多庫利，是專門加工金屬的工匠，<hex:02100103>可以幫忙輔佐蓋羅爾特哦。
67,TEXT_KINGKW002_05320_DODOKKULI_300_018,簡單的事前準備工作就交給我吧！<hex:02100103>等你收集到足夠的<hex:02280BFF05>Item<hex:F2BA860103>後就請拿來給我。
68,TEXT_KINGKW002_05320_GEROLT_000_020,島上採集的資源全都給羅薇娜商會了？！<hex:02100103>那我就將它們全都加工成武器！<hex:02100103>這樣商會就拿不到資源了！
