key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_000,現在，太陽海岸正在舉辦紅蓮節。<hex:02100103>關於節日的事情都可以來問我！
1,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_010,紅蓮節正在火熱開展中！<hex:02100103>如果對節日有任何在意的問題，<hex:02100103>請儘管來諮詢吧！
2,TEXT_FESSUM2025GUIDE_00931_Q1_000_000,想了解什麼？
3,TEXT_FESSUM2025GUIDE_00931_A1_000_001,什麼是紅蓮節？
4,TEXT_FESSUM2025GUIDE_00931_A1_000_002,什麼是拉敏女王號？
5,TEXT_FESSUM2025GUIDE_00931_A1_000_003,取消
6,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_020,我來為你說明一下吧。<hex:02100103>紅蓮節起初是為了擊退火焰系魔物轟擊怪，<hex:02100103>而由冒險者公會運營的慶典。
7,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_021,在那之後，為了拓展冒險者公會的業務，<hex:02100103>即便沒有火焰系魔物出現，<hex:02100103>我們的紅蓮節執行委員長荷爾瑪伽也會定期帶頭舉辦紅蓮節。
8,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_022,在荷爾瑪伽的指揮下，<hex:02100103>為了守護憧憬冒險者的孩子們的夢想與希望，<hex:02100103>我們執行委員在真心實意地運營著紅蓮節。
9,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_030,太陽海岸的地主格格魯玖先生<hex:02100103>這次也大方地為我們提供了舉辦紅蓮節的場地。
10,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_031,也請你積極地參加紅蓮節，<hex:02100103>讓慶典變得更熱鬧吧！
11,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_032,這回的舉辦場所就在太陽海岸。<hex:02100103>請你積極參加吧！
12,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_040,拉敏女王號是為了讓大家能盡情玩水而建立的大型娛樂設施！<hex:02100103>除了有泳池、人體砲彈和水上滑梯之外，<hex:02100103>還布置了各種供大家休息、談話、享受美食的設施。
13,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_041,為了避免驚險刺激的遊樂項目引發安全事故，<hex:02100103>同時也為了守護遊客的安全，我們組建了海上救援隊，<hex:02100103>確保各位來賓能在船上玩得開心，玩得放心！
14,TEXT_FESSUM2025GUIDE_00931_ETHELIA_000_042,順帶一提，我聽說這艘船的名字源自一位大明星。<hex:02100103>命名者希望這艘船也能像那位大明星的舞蹈一樣，<hex:02100103>為來賓們帶去難忘的快樂！
