key,11,12,13,14,93,94,95,96,97,98,99,100,101,102,103,104
#,VFX{Fire},VFX{Hit},VFX{Miss},VFX{Additional},Objective[0],Hint[0],Objective[1],Hint[1],,,,,,,,ActionText
offset,244,248,252,256,192,196,200,204,208,212,216,220,224,228,232,236
int32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,ev_snipe_clic0f,,,,觀察長頸駝！,要想製作優質的標本，<hex:02100103>必須要仔細觀察活著的長頸駝。<hex:02100103>從上到下仔細觀察長頸駝！,,仔細觀察巨大的長頸駝全身,,,,,,,,觀察
5,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,用吹箭射中所有的箭靶！,為了彰顯吹箭的可用性，<hex:02100103>用吹箭射中所有的箭靶！,,用吹箭射擊指定的箭靶,,,,,,,,放箭
6,ev_snipe_clic0f,,,,查看倒在沙灘上的人！,好像有人倒在了海邊，<hex:02100103>尋找那個人並確認其情況！,,查看倒下的人,,,,,,,,查看
7,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,麻痺弗帕！,用塗有麻痺藥的吹箭麻痺弗帕！<hex:02100103>尋找弗帕，用吹箭射擊！,,用吹箭射擊弗帕,,,,,,,,放箭
8,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,讓警戒中的帝國兵睡去！,用塗有催眠藥的吹箭<hex:02100103>讓警戒中的帝國兵睡去！<hex:02100103>尋找帝國兵，用吹箭射擊！,,用吹箭射擊帝國兵,,,,,,,,放箭
9,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,讓警戒中的帝國兵睡去！,用塗有催眠藥的吹箭<hex:02100103>讓警戒中的帝國兵睡去！<hex:02100103>尋找帝國兵，用吹箭射擊！,,用吹箭射擊帝國兵,,,,,,,,放箭
10,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,讓警戒中的帝國兵睡去！,帝國河畔堡前有警戒中的帝國兵。<hex:02100103>用吹箭射擊，讓其睡去！,,用吹箭射擊帝國兵,,,,,,,,放箭
11,ev_snipe_clic0f,,,,進行監視！,尋找疑似是叛徒的人，<hex:02100103>監視其一舉一動！,,進行監視,,,,,,,,監視
12,ev_snipe_clic0f,,,,進行監視！,尋找疑似是叛徒的人，<hex:02100103>監視其一舉一動！,,進行監視,,,,,,,,監視
13,ev_snipe_clic0f,,,,進行監視！,尋找疑似是叛徒的人，<hex:02100103>監視其一舉一動！,,進行監視,,,,,,,,監視
14,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,讓羊睡去！,小羊羔逃離了羊群迷失了方向。<hex:02100103>為了捕獲膽小的小羊羔，<hex:02100103>用吹箭射擊，讓其睡去！,,用吹箭射擊迷路的羊羔,,,,,,,,放箭
15,ev_snipe_clic0f,,,,確認格格魯玖看到了什麼！,必須調查清楚格格魯玖看到了什麼。<hex:02100103>找到他看到的東西，進行確認！,失敗條件：確認到錯誤的目標,確認格格魯玖看到了什麼,,,,,,,,確認
16,ev_snipe1cf,ev_snipe_hit0f,ev_snipe_mis0f,,用戀愛水泡射擊魅力四射的斑鰩！,年輕的斑鰩想要吸引魅力四射的斑鰩，<hex:02100103>用戀愛水泡射擊使其回頭！,,用戀愛水泡射擊魅力四射的斑鰩,,,,,,,,射出戀愛水泡
17,ev_snipe_clic0f,,,,觀察蝦蛄並尋找弱點！,為了傳授與魔物戰鬥的方法，<hex:02100103>仔細觀察蝦蛄全身並尋找弱點！,,觀察蝦蛄的弱點,,,,,,,,觀察
18,ev_snipe_clic0f,,,,觀察弗巴德並尋找弱點！,為了傳授與魔物戰鬥的方法，<hex:02100103>仔細觀察弗巴德全身並尋找弱點！,,觀察弗巴德的弱點,,,,,,,,觀察
19,ev_snipe_clic0f,,,,尋找性情古怪的鯰魚精！,尋找性情古怪的鯰魚精進行觀察！,,尋找性情古怪的鯰魚精,,,,,,,,確認
20,ev_snipe_clic0f,,,,尋找性情古怪的鯰魚精！,尋找性情古怪的鯰魚精進行觀察！,,尋找性情古怪的鯰魚精,,,,,,,,確認
21,,,,,,,,,,,,,,,,
22,ev_snipe2cf,ev_snipe2_hit0f,ev_snipe2_hit0f,ev_snipe2_mis0f,驅除凶暴化的陀羅！,凶暴化的陀羅正在襲擊野營地，<hex:02100103>在陀羅們到達礦石以前砲擊所有的陀羅！,失敗條件：凶暴化的陀羅到達礦石,砲擊凶暴化的陀羅,,,,,,,,開砲
23,ev_snipe_clic0f,,,,尋找邦加莫南！,邦加莫南就在黎鐸拉納大燈塔的某處，<hex:02100103>找到他！,,找出邦加莫南,,,,,,,,確認
24,ev_snipe3cf,ev_snipe_hit0f,ev_snipe_hit0f,ev_snipe_hit0f,用箭射中靶子！,為了再現傳統弓射，用祭禮用的弓射出箭，<hex:02100103>命中魚信拿的靶子！,失敗條件：射中魚信,射中靶子,,,,,,,,放箭
25,ev_snipe3cf,ev_snipe_hit0f,ev_snipe_mis0f,,用箭射中靶子！,為了再現傳統弓射，用祭禮用的弓射出箭，<hex:02100103>命中鯰魚精拿的靶子！,,射中靶子,,,,,,,,放箭
26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,用吹箭射中豚豬！,為了獲得最適合製作武具的豚豬牙，<hex:02100103>尋找牙齒結實的豚豬，<hex:02100103>用吹箭射擊使其麻痺！,,射中豚豬,,,,,,,,放箭
27,ev_snipe_clic0f,,,,確認商品！,勒昂琅的蠕動食材店中<hex:02100103>擺滿了各類商品，<hex:02100103>確認所有商品！,,確認商品,,,,,,,,確認
28,ev_snipe_clic0f,,,,尋找石板！,給雅·修特拉的禮物<hex:02100103>似乎就藏在這個教會之中，<hex:02100103>找出古舊的石板！,,找出石板,,,,,,,,確認
29,ev_snipe_clic0f,,,,觀察壁畫！,雅·修特拉委託<hex:02100103>觀察古舊的壁畫，<hex:02100103>觀察所有的壁畫！,,觀察壁畫,,,,,,,,觀察
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,ev_snipe_clic0f,,,,尋找藍髮的貓秘族！,深藍色短髮的貓秘族似乎搶走了農作物。<hex:02100103>找出犯人！,,找出藍髮的貓秘族,,,,,,,,確認
33,ev_snipe_clic0f,,,,尋找神秘的人影！,來自神秘村莊的人物<hex:02100103>似乎正在窺探這邊的情況，<hex:02100103>找出神秘的人影！,,找出神秘的人影,,,,,,,,確認
34,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,射擊戴著不同頭盔的矮人族！,現在進行圖爾找碴大作戰的練習，<hex:02100103>射擊與圖爾家族<hex:02100103>戴著不同頭盔的矮人族！,,射擊戴著不同頭盔的矮人族,,,,,,,,用彈弓射擊
35,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,射擊戴著不同頭盔的矮人族！,現在正式進行圖爾找碴大作戰，<hex:02100103>射擊與圖爾家族<hex:02100103>戴著不同頭盔的矮人族！,失敗條件：射擊與圖爾家族戴著相同頭盔的矮人族,射擊戴著不同頭盔的矮人族,,,,,,,,用彈弓射擊
36,ev_snipe_clic0f,,,,尋找建築物的特徵！,調查形成<hex:02100103>鰭人潮池的建築物，<hex:02100103>尋找比較獨特的地方！,,找出獨特的外觀,,,,,,,,確認
37,ev_snipe_clic0f,,,,確認仙子族的數量！,要陪仙子族玩<hex:02100103>使用望遠鏡的遊戲了，<hex:02100103>尋找仙子族，確認其數量！,,確認仙子族的數量,,,,,,,,確認
38,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,討伐古拉姆！,發射解咒器，<hex:02100103>討伐接近衛兵的<hex:02100103>古拉姆！,失敗條件：古拉姆接近衛兵,討伐古拉姆,,,,,,,,發射解咒器
39,ev_snipe_clic0f,,,,給采·努茲發送信號！,在不被塔羅斯發現的情況下<hex:02100103>給采·努茲發送信號！,失敗條件：采·努茲被塔羅斯發現,給采·努茲發送信號,,,,,,,,發送信號
