key,2
#,
offset,0
int32,str
0,
1,魔導裝甲的殘骸。<hex:02100103>這裡難道經歷了激烈的戰鬥？
2,久經使用的劍和盾。<hex:02100103>看起來不像是加雷馬帝國軍的裝備。<hex:02100103>它們的主人究竟是誰？
3,好像是西德年輕時記錄的衛月觀測數據。<hex:02100103>上面書寫著整整齊齊的文字和複雜的公式。<hex:02100103><hex:02100103>根據西德推測，<hex:02100103>衛月擁有收集太陽能後進行轉換、輸送的機能。<hex:02100103><hex:02100103>如果在未做好接收準備的情況下啟動衛月，<hex:02100103>積蓄了數千年的龐大能量將會從天而降，<hex:02100103>造成重大的事故。
4,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……
5,
6,
7,看樣子是遭到了被控制的帝國兵襲擊，已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥。
8,看樣子是曾經拚命抵抗過，但已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥。
9,腿部受損的魔導死神。<hex:02100103>機器還留有餘溫，不久之前應該還被人駕駛過。<hex:02100103>如果有認證密鑰和燃料應該可以啟動。<hex:02100103>使用這台機器的魔導加農砲，<hex:02100103>也許能掃清正面的敵人……
10,腿部受損的魔導死神。<hex:02100103>使用了認證密鑰，但因為缺少燃料無法啟動。<hex:02100103>尋找魔導死神的殘骸，搜索燃料。
11,魔導死神的殘骸。<hex:02100103>駕駛席的量表顯示還殘留著燃料。<hex:02100103>看樣子可以拆下青磷水箱。
12,腿部受損的魔導死神。<hex:02100103>在剛才的戰鬥中徹底損毀，失去了戰鬥能力。
13,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……
14,魔導死神的殘骸。<hex:02100103>駕駛席的量表顯示還殘留著燃料，<hex:02100103>但受損十分嚴重，已經無法再次使用了……
15,已經咽氣了。<hex:02100103>如果是自己的身體，是否能拯救他呢……
16,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……
17,疑似是新兵的帝國兵已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥。
18,
19,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了帝國式強壯劑！
20,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了軍用恢復藥！
21,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了軍用恢復藥！
22,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了軍用恢復藥！
23,已經咽氣了。
24,看樣子是從背後遭到了襲擊，已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥！
25,已經咽氣了。
26,破爛的小麻袋。<hex:02100103>從裡面發現了軍用恢復藥！
27,破爛的小麻袋。<hex:02100103>從裡面發現了帝國式恢復劑！
28,腿部受損的魔導死神。<hex:02100103>補充了燃料，但因為缺少認證密鑰無法啟動。<hex:02100103>搜索一下看看原本的駕駛員有沒有躲在附近。
29,水面泛起了波紋，開始產生細小的氣泡……<hex:02100103>想像了一下葉小妖的幼崽在葉片的後面扎堆的情景。
30,在葉片的表面有被踐踏的痕跡。<hex:02100103>是誰在打水時留下的嗎？
31,在水底發現了被植物寄生的動物屍骸。<hex:02100103>是在尋找食物的時候迷路了嗎？
32,發現了有輕微燒焦痕跡的水草。<hex:02100103>很像是賢者的攻擊術式留下的……
33,<hex:02100103>刻有通用語構成的文章……<hex:02100103><hex:02100103>「創世之初，勇猛火神，賜予勇敢的我等烈焰。<hex:02100103>聖火傳承，繼承自先祖的烈焰，回答其名！」<hex:02100103>
34,地上有一張充滿塗鴉的紙片。<hex:02100103>也許是偷盜者的筆記。<hex:02100103><hex:02100103>翠綠的稀有礦石，<hex:02100103>孔雀石之間，綠色與黃色的布袋。<hex:02100103>瓦礫上，牆角邊。
35,魔物的屍體。<hex:02100103>上面留有被利爪撕裂的傷痕……
36,四處散落著亂糟糟的羽毛。<hex:02100103>是在這附近大鬧了一番嗎？
37,地上有動物的糞便。<hex:02100103>似乎才剛排泄了沒多久……
38,終端的畫面上顯示著的大量人名，<hex:02100103>看起來是「記憶被存放到了雲端之上的人」的名單。<hex:02100103><hex:02100103>不知道納米喀的名字在不在裡面……
39,處理靈魂資源時須遵守操作說明中規定的工序。<hex:02100103>我們保管的是新生亞歷山德裡亞聯合王國最重要的資源。<hex:02100103>任何的損壞、流失都將被嚴厲問責。<hex:02100103>第一工序：靈魂的抽取<hex:02100103>抽取存儲在調魂器內混合著「靈魂」與「記憶」的乙太，<hex:02100103>注入裝置中使其穩定。<hex:02100103>抽取時如果操之過急，混合乙太的損壞率會相應提高。<hex:02100103>因此，除緊急情況外禁止變更抽取速度。
40,特殊監視對象靈魂，<hex:02100103>ID161127，個體名稱「納米喀」。<hex:02100103>生命活動終止時的肉體年齡86歲……<hex:02100103>居民記憶的消除操作——已完成。<hex:02100103>遺留肉體的處理——已完成。<hex:02100103>混合乙太的抽取——已完成。
41,第二工序：記憶與靈魂的分離<hex:02100103>利用分離器將混合乙太分離成靈魂與記憶，<hex:02100103>並分別送至第三工序。<hex:02100103>靈魂需要最終加工，須送至上層。<hex:02100103>記憶則通過秘密途徑送往中央終端。<hex:02100103><hex:02100103>此外，魔物的記憶無需保存。<hex:02100103>除特殊用途外，全部廢棄。
42,第三工序：漂白<hex:02100103>對分離後仍附著在靈魂上的記憶殘渣進行完全漂白。<hex:02100103>漂白光對生命體有害，操作時需要注意。<hex:02100103>另外，如不進行漂白處理，<hex:02100103>被注入該靈魂之人可能會產生記憶錯亂乃至人格崩潰。<hex:02100103>操作人員須通過高精度檢測裝置確認是否有殘渣存留。<hex:02100103>經過上述工序，靈魂資源將重新被社會所用。<hex:02100103>各位都是在為國家的運轉而出力，<hex:02100103>務必以認真的態度執行工作。
43,實驗記錄216——個體名稱「安布羅斯」。<hex:02100103>本實驗旨在將試驗型調魂器裝配在沒有靈魂的肉體上，<hex:02100103>其後將多種魔物以及人類的靈魂資源同時注入。<hex:02100103>現在，實驗體雖能像活人一樣行動，<hex:02100103>但人格已出現缺陷，伴隨著強烈的破壞衝動。<hex:02100103>推測魔物的靈魂佔據了主導地位。<hex:02100103>該個體雖擁有強大的戰鬥力，<hex:02100103>但十分難以控制，作為兵器的可信賴程度過低。<hex:02100103>今後的實驗將圍繞如何固定「忠誠的人格」展開。
44,光滑的圓形石板上懸浮著發光的文字和圖案。<hex:02100103>然而，使用的卻是一種沒人見過的字型。<hex:02100103>與艾歐澤亞文字的字母數量都有所不同。<hex:02100103>文字的排列中體現出了清晰的規律性，<hex:02100103>因此可以懷疑其為人工創造的語言。<hex:02100103>或許是一種隱藏重要知識時用的措施吧。
45,一塊篆刻著密集紋樣的石板。<hex:02100103>但當人想要解讀其上內容凝神看去時，<hex:02100103>卻會突然感到莫名的眩暈想吐。<hex:02100103>也許是為了避免不被允許的人取得其中知識<hex:02100103>而施加了魔法性質的防護措施。<hex:02100103>暫時還是先不要直視這塊石板比較好。
46,書架傾倒，大量書籍散落一地。<hex:02100103>所有的書都是用一種陌生的語言書寫的，<hex:02100103>沒法解讀其中的內容。<hex:02100103>書中有很多看起來像是魔紋的圖樣，<hex:02100103>可能是某種魔導書吧。
