key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESGSC801_04814_SEQ_00,※本任務是特定期間內的任務。<hex:02100103><hex:02100103>翠玉大街的凱萬想找人幫忙。
1,TEXT_FESGSC801_04814_SEQ_01,※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束後無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>«神秘愛好者»雜誌的記者凱萬詢問冒險者是否聽說過金碟遊樂場的河童。前往金碟遊樂場的入口廣場，再次和凱萬談談。
2,TEXT_FESGSC801_04814_SEQ_02,和凱萬進行了交談。冒險者們決定找到河童節的企劃提案者，解開河童之謎。在奇妙廣場尋找可能與河童一事有關的協助河童的工作人員。
3,TEXT_FESGSC801_04814_SEQ_03,與協助河童的工作人員進行了交談。前往曼德維爾休息區，和提議舉辦河童節的健碩的河童談談。
4,TEXT_FESGSC801_04814_SEQ_04,和健碩的河童進行了交談。健碩的河童將河童裝束給與了冒險者，並示意冒險者幫忙。在演出廣場尋找能被逗笑的客人，讓他們開心一下吧。<hex:02100103><hex:02100103>※換裝狀態被解除時，再次與健碩的河童對話便可進入換裝狀態。
5,TEXT_FESGSC801_04814_SEQ_05,逗笑了金碟遊樂場的客人們。返回曼德維爾休息區的健碩的河童身邊。
6,TEXT_FESGSC801_04814_SEQ_06,和健碩的河童進行了交談。健碩的河童暗示冒險者前往凱萬身邊。和入口廣場的凱萬談談。
7,TEXT_FESGSC801_04814_SEQ_07,和凱萬進行了交談。儘管河童仍是一個謎，但凱萬離開前保證自己會寫出一篇有趣的文章。«神秘愛好者»登載的文章會為金碟遊樂場帶來大量的客人。在金碟嘉年華剩下的時間裡，盡情享受讓人目不暇接的金碟遊樂場為你帶來的快樂吧。
8,TEXT_FESGSC801_04814_SEQ_08,
9,TEXT_FESGSC801_04814_SEQ_09,
10,TEXT_FESGSC801_04814_SEQ_10,
11,TEXT_FESGSC801_04814_SEQ_11,
12,TEXT_FESGSC801_04814_SEQ_12,
13,TEXT_FESGSC801_04814_SEQ_13,
14,TEXT_FESGSC801_04814_SEQ_14,
15,TEXT_FESGSC801_04814_SEQ_15,
16,TEXT_FESGSC801_04814_SEQ_16,
17,TEXT_FESGSC801_04814_SEQ_17,
18,TEXT_FESGSC801_04814_SEQ_18,
19,TEXT_FESGSC801_04814_SEQ_19,
20,TEXT_FESGSC801_04814_SEQ_20,
21,TEXT_FESGSC801_04814_SEQ_21,
22,TEXT_FESGSC801_04814_SEQ_22,
23,TEXT_FESGSC801_04814_SEQ_23,
24,TEXT_FESGSC801_04814_TODO_00,和金碟遊樂場的凱萬對話
25,TEXT_FESGSC801_04814_TODO_01,在奇妙廣場尋找工作人員
26,TEXT_FESGSC801_04814_TODO_02,和曼德維爾休息區的健碩的河童對話
27,TEXT_FESGSC801_04814_TODO_03,換裝狀態下和演出廣場的來賓對話
28,TEXT_FESGSC801_04814_TODO_04,和健碩的河童對話
29,TEXT_FESGSC801_04814_TODO_05,和凱萬對話
30,TEXT_FESGSC801_04814_TODO_06,
31,TEXT_FESGSC801_04814_TODO_07,
32,TEXT_FESGSC801_04814_TODO_08,
33,TEXT_FESGSC801_04814_TODO_09,
34,TEXT_FESGSC801_04814_TODO_10,
35,TEXT_FESGSC801_04814_TODO_11,
36,TEXT_FESGSC801_04814_TODO_12,
37,TEXT_FESGSC801_04814_TODO_13,
38,TEXT_FESGSC801_04814_TODO_14,
39,TEXT_FESGSC801_04814_TODO_15,
40,TEXT_FESGSC801_04814_TODO_16,
41,TEXT_FESGSC801_04814_TODO_17,
42,TEXT_FESGSC801_04814_TODO_18,
43,TEXT_FESGSC801_04814_TODO_19,
44,TEXT_FESGSC801_04814_TODO_20,
45,TEXT_FESGSC801_04814_TODO_21,
46,TEXT_FESGSC801_04814_TODO_22,
47,TEXT_FESGSC801_04814_TODO_23,
48,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_000,如果我沒看錯的話，你是一位冒險者吧？<hex:02100103>我叫凱萬，是«神秘愛好者»雜誌的記者。
49,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_001,現在金碟遊樂場正在舉辦金碟嘉年華，<hex:02100103>嘉年華期間入場可以獲得1.5倍的金碟幣，因此現場十分熱鬧。<hex:02100103>可就在人們享受慶典時，卻出現了惹人注意的傳聞……
50,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_002,你可聽好了！傳聞就是，活動現場竟然出現了河童！<hex:02100103>河童可是實打實的未確認生物！
51,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_003,哎呀，我是不是說得太沒頭沒尾了？請容我解釋一下。<hex:02100103>我們雜誌把這類在傳說故事裡頻繁出現，人們卻不甚了解的生物，<hex:02100103>統一稱為未確認生物。我們的工作就是解開它們身上的謎團。
52,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_004,無論如何，我都想要查明這次現身的河童的正身。<hex:02100103>但是，金碟嘉年華的會場這麼大，我一個人很難調查所有地方，<hex:02100103>所以，我想請你幫我一起來調查，你看怎麼樣？
53,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_005,謝謝！謝謝你願意幫忙！<hex:02100103>那我就先走一步，去金碟遊樂場的入口廣場等你了，<hex:02100103>我們在那裡集合吧。
54,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_006,如果你還沒有去過金碟遊樂場，<hex:02100103>就去和附近的揮金如土的年輕人談談吧。<hex:02100103>大概他會給你去那裡的票。
55,TEXT_FESGSC801_04814_SYSTEM_000_007,若要領取或繼續推進本任務，需要在烏爾達哈現世迴廊領取<hex:02100103>15級才能領取的任務「前往遊樂場」。
56,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_010,你來了。<hex:02100103>我想你已經發現了吧……<hex:02100103>請看看周圍吧。
57,TEXT_FESGSC801_04814_IMPCOSTUME04814_000_011,(-河童？-)哢啪啪————！
58,TEXT_FESGSC801_04814_Q1_000_000,要說什麼？
59,TEXT_FESGSC801_04814_A1_000_001,河童說話了？！
60,TEXT_FESGSC801_04814_A1_000_002,原來河童只是穿了玩偶服的人啊
61,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_012,是啊，都會說話……<hex:02100103>畢竟怎麼看都只是一群穿了玩偶服的人而已嘛……
62,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_013,看起來是這樣沒錯了……<hex:02100103>這裡並沒有什麼未確認生物……
63,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_014,最近我有個同事編輯運氣特別好，找到了一個大新聞。<hex:02100103>我可不想輸給他，<hex:02100103>所以我一聽說河童的傳聞就趕過來了……
64,TEXT_FESGSC801_04814_OCCULTJOURNALIST_000_015,沒想到金碟遊樂場的河童的真身，<hex:02100103>只是一群穿了玩偶服的人而已。<hex:02100103>我怎麼會這麼倒霉……
65,TEXT_FESGSC801_04814_OCCULTJOURNALIST_100_015,完啦！！
