key,1
#,Dialogue
offset,0
int32,str
0,
1,
2,歡迎！歡迎！
3,我家的東西很便宜哦！
4,呼……
5,帝國有什麼動靜嗎？
6,我們派出去的人<hex:02100103>應該馬上就回來報告了。
7,多麼風光明媚的田園城邦啊！
8,真是座人情冷漠的城市啊。
9,好吧，怎麼了？
10,這樣也不壞。
11,魚……
12,咕哎！咕哎！
13,我明白了，<hex:02100103>我會報告給上面的。
14,拜託你了。
15,好像是鳥人族幹的。
16,我來給您當嚮導吧。
17,我需要在天黑前<hex:02100103>趕回利姆薩！
18,那傢伙真夠慢的……
19,……
20,……
21,……呼……
22,哼，外來者能幹得了什麼！
23,很好，沒看到鳥人族的影子！
24,這毛色真不錯……
25,沿著這條街一直走<hex:02100103>就是商店街了。
26,……
27,喵……喵？
28,借用元靈的力量<hex:02100103>會發生什麼呢？
29,森林就由我們來保護！
30,水車轉轉轉～<hex:02100103>咕嚕嚕地轉～
31,休息時自然要放鬆精神……
32,咕哎……
33,嗯？怎麼了？
34,一、二、三……
35,您的話深刻地感染了我……
36,呼……
37,滿手都是基薩爾野菜的味道。
38,以前整個森林裡<hex:02100103>到處都是那種堅果。
39,抱歉，女士。<hex:02100103>胡桃已經賣完了。
40,嘿咻！
41,採蘑菇的小姑娘～<hex:02100103>背著一個大籮筐～
42,啊！木屑進到鼻子裡了……
43,左敲敲，右敲敲……
44,又是大人……
45,啦啦啦～
46,告訴你我能行！<hex:02100103>好好看著！
47,啊……
48,要相信元靈的引導。
49,但是我都感受不到他們……<hex:02100103>要怎麼相信啊……
50,啦啦啦
51,嗯……
52,願大地女神保佑這些蜜蜂。
53,再多一點……
54,森林現在非常危險！
55,但是……
56,瞧一瞧看一看啊！<hex:02100103>我這都是好東西！
57,歡迎惠顧！
58,看來我們有必要重新開始……
59,是啊……
60,歡迎來到這裡，旅行者。
61,咕……
62,對不起！<hex:02100103>我再也不敢了……
63,最好沒有下次了。
64,你們這些黑影之民真是……
65,安靜！
66,站直了！
67,但是我的腿有點……
68,哈！
69,收腹！低頭！
70,腰挺得太高了！
71,是！
72,呵！
73,啊！
74,沒事了。
75,……
76,好吧，<hex:02100103>它看上去沒什麼大問題。
77,嗯……
78,我覺得我們需要再弄一些鹽。
79,挑個輕點的比較好吧？
80,我說……你們聽明白了嗎……
81,……
82,？
83,啦啦，啦
84,這是在鼓勵我嗎？
85,啦啦啦
86,接下來種什麼呢……
87,這次我試著換了種肥料。
88,看上去成長很不錯！
89,難怪啊！
90,工頭還在盯著？<hex:02100103>可惡……
91,喂，該換班了。
92,讓我休息10分鐘……
93,那可不行！
94,一不小心……
95,91
96,這就是森林的意志。
97,可是……那是不對的！
98,這個女孩才經歷過12次夏天。
99,求您了……請幫幫她……
100,森林一直在守望著我們。
101,元靈會保佑我的生意嗎？
102,我們快走吧。
103,不要急，<hex:02100103>我先喝點東西。
104,但是我們才剛到這裡！
105,……
106,偉大的元靈……法師大人……
107,元靈說了些什麼？
108,請保佑我們……
109,願你的傷痛早日康復。
110,謝謝！
111,太糟糕了！
112,長鬚豹吃掉了<hex:02100103>我們所有的雞雛！
113,還有小麥和其他作物……
114,欲罷不能啊！
115,這裡的酒簡直棒極了。
116,時間過得真快啊。
117,靈災已經過去5年了……
118,唉……
119,應該把那些外來者<hex:02100103>全部驅除出境！
120,幻術皇說我們必須接受他們。
121,……
122,難道就不能讓一位淑女<hex:02100103>休息一下嗎？
123,這事得按規定辦。
124,請通融一下嘛……
125,我馬上就想要貨喵！
126,我覺得這個不錯呢。
127,嗯……這個怎麼樣？
128,嗚哇……好酒！
129,這手工……做得真棒！
130,喂，你在聽我說話嗎？
131,啦啦啦啦～
132,寶寶乖，乖寶寶。
133,要細心做……
134,這些可惡的豆子！<hex:02100103>我怎麼也除不掉身上的臭味！
135,嗯，看來都合格。
136,真是精美的手工技術。
137,還有這種樣式的啊。
138,吵死了！<hex:02100103>我連一分鐘都睡不著！
139,呼……
140,嗯……
141,……哎！
142,放鬆……<hex:02100103>保持呼吸……
143,只要抓住時機<hex:02100103>給他們個出其不意……
144,不要小看鳥人族。
145,今天的訓練還沒結束嗎？
146,呵……呵……
147,你以為敵人會給你<hex:02100103>休息的時間嗎？
148,是！長官！
149,是！長官！
150,是！髒……啊不！長官！
151,你們甚至都射不中<hex:02100103>那邊的木樁！
152,請給予我們指引……
153,咕哎！
154,再來100次！
155,那種刺法連鳥人的<hex:02100103>羽毛都刺不穿！
156,哦親愛的……呼……
157,是魔物幹的嗎？
158,幼苗都被糟蹋了！
159,咕哎！
