key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSAK6METEM_00972_METEM_000_000,這不是我們不戴調魂器的全量級冠軍<hex:022903EB0203>嗎！<hex:02100103>今天是來阿卡狄亞玩的嗎？
1,TEXT_REGSAK6METEM_00972_METEM_000_001,哎呀，我很榮幸陪我們的名譽全量級冠軍聊兩句！<hex:02100103>如今我也再沒有什麼好隱瞞的事了，<hex:02100103>有什麼問題，請儘管發問吧！
2,TEXT_REGSAK6METEM_00972_Q1_000_000,想了解什麼？
3,TEXT_REGSAK6METEM_00972_A1_000_001,最近怎麼樣？
4,TEXT_REGSAK6METEM_00972_A1_000_002,關於老闆
5,TEXT_REGSAK6METEM_00972_A1_000_003,關於林德布魯姆
6,TEXT_REGSAK6METEM_00972_A1_000_004,取消
7,TEXT_REGSAK6METEM_00972_METEM_000_100,在你的推動下，阿卡狄亞喜迎新規則，<hex:02100103>觀眾們也對新內容很是關注，可以說是場場爆滿、盛況空前！
8,TEXT_REGSAK6METEM_00972_METEM_000_101,這也是多虧了有你做示範，<hex:02100103>才能讓觀眾感受到無調魂器加持的戰鬥帶來的興奮與刺激。
9,TEXT_REGSAK6METEM_00972_METEM_000_102,目前，各位鬥士們為了爭奪新生阿卡狄亞初代全量級冠軍的寶座，<hex:02100103>都在摩拳擦掌地準備著呢！
10,TEXT_REGSAK6METEM_00972_METEM_000_200,老闆啊……之前你也知道了，<hex:02100103>老闆是林德布魯姆的貴族末裔，<hex:02100103>其先祖熱愛戲劇，是當時劇院的大金主。
11,TEXT_REGSAK6METEM_00972_METEM_000_201,而老闆也完全繼承了其先祖對戲劇的熱愛，<hex:02100103>之後更是在異國他鄉將先祖創立的阿卡狄亞再次發揚光大，<hex:02100103>為飽受災難折磨的人們帶去慰藉，終成一代國民級娛樂。
12,TEXT_REGSAK6METEM_00972_METEM_000_202,然而，阿卡狄亞使用的注入魔物靈魂的新技術卻是一把雙刃劍，<hex:02100103>在將阿卡狄亞盛會推向頂峰的同時，也嚴重危害了鬥士們的健康。<hex:02100103>老闆為此愧疚不已，最終選擇了犧牲自己拯救鬥士們。
13,TEXT_REGSAK6METEM_00972_METEM_000_203,說起來，老闆原本的夢想是成為一名舞台演員。<hex:02100103>某種意義上來說，邪惡老闆也算是為他量身打造的角色了。
14,TEXT_REGSAK6METEM_00972_METEM_000_204,最後在阿卡狄亞的舞台上，他用精湛的演技騙過了所有人，<hex:02100103>扮演了一回邪惡老闆，也算是遂了心願。
15,TEXT_REGSAK6METEM_00972_METEM_000_205,而且，在臨終前能看到你這顆閃耀的新星照亮阿卡狄亞，<hex:02100103>為這裡開啟不使用魔物靈魂戰鬥的理想新時代，<hex:02100103>我想老闆一定再無遺憾了。
16,TEXT_REGSAK6METEM_00972_METEM_000_300,林德布魯姆……這既是老闆故國的國名，<hex:02100103>也是他化身的那條大蛇的名字。<hex:02100103>我所知的，也只有老闆和我說的那些……
17,TEXT_REGSAK6METEM_00972_METEM_000_301,據說，這條大蛇就棲息在林德布魯姆的建國之處。<hex:02100103>開國之人驚異於它強大的自愈力，希望國祚能像大蛇的生命力<hex:02100103>一樣綿延不絕，因此便以大蛇之名為國家名。
18,TEXT_REGSAK6METEM_00972_METEM_000_302,到了雷光大戰時期，大蛇早已變成人們口中的傳說，<hex:02100103>但人們卻意外地在戰爭中發現了它的卵。
19,TEXT_REGSAK6METEM_00972_METEM_000_303,當時，雷屬性之力愈發強大，<hex:02100103>患上偏屬性疾病的人苦於麻痺症狀已久。
20,TEXT_REGSAK6METEM_00972_METEM_000_304,於是林德布魯姆的人們便想利用大蛇的強大自愈力，<hex:02100103>開發強化人體自愈力的藥。<hex:02100103>只可惜孵化蛇卵的事卻一直不順利。
21,TEXT_REGSAK6METEM_00972_METEM_000_305,最終，蛇卵還未能孵化，林德布魯姆便已遭滅頂之災，<hex:02100103>王室將未孵化的蛇卵託付給了倖存的貴族——<hex:02100103>也就是老闆的先祖，之後那位先祖便帶著蛇卵踏上了逃難之路。
22,TEXT_REGSAK6METEM_00972_METEM_000_306,就這樣過了許多年，林德布魯姆的卵雖一直在老闆家中傳承，<hex:02100103>卻也逐漸被遺忘在角落。到了老闆這一代，恰逢阿卡狄亞的鬥士們<hex:02100103>相繼患上靈魂壞死症，這才有機會讓它重見天日。
23,TEXT_REGSAK6METEM_00972_METEM_000_307,老闆請求創生設施中的熟人研究員協助，<hex:02100103>開始秘密研究靈魂壞死症的治療方法。之後便在過去的記錄中<hex:02100103>發現了基於林德布魯姆核心強化自愈力的相關記錄。
24,TEXT_REGSAK6METEM_00972_METEM_000_308,家族中傳承的大蛇之卵竟是救命藥引，<hex:02100103>連老闆都深感命運使然。
25,TEXT_REGSAK6METEM_00972_METEM_000_309,過去因無法孵化而停滯的研究在當今靈魂注入技術的加持下重啟。<hex:02100103>老闆自卵中抽出林德布魯姆的靈魂，將其注入了自己的身體，<hex:02100103>希望能掌控它的自愈力，為鬥士們治療靈魂壞死症。
26,TEXT_REGSAK6METEM_00972_METEM_000_310,然而結局如你所知……老闆的嘗試失敗了，也無法再變回原樣。<hex:02100103>最終就只剩打倒化為大蛇的老闆，取林德布魯姆的核心製藥<hex:02100103>這一條路可走，唉……
